Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
   AxIS Version,3.0.3.2,00000.000160,B3,6912,7.75616,16,432,280.709808
   Maestro Edge Firmware,3.0.3.2,00000.009440,B6,8449,7.69168,16,528.0625,497.080658
   Maestro Edge BioCore Version,4B,00000.000800,C3,7042,7.68328,16,440.125,356.48526
,,00013.191840,A2,317,0.30912,14,22.642857,18.63793
AxIS Playback,,00013.354640,B1,86,0.1736,11,7.818182,5.3397
   AxIS Version,3.0.3.2,00013.256960,C2,285,0.36744,16,17.8125,7.221658
   File Name,baseline.raw,00013.256800,D1,889,0.2908,16,55.5625,6.999721
   Plate Type,BioCircuit MEA 24,00013.262480,D2,143,0.14984,13,11,10.727391
   Requested File Section,0s to 1h0m25s,00013.678320,D1,157,0.4116,15,10.466667,10.83123
   Actual File Section Run,0s to 1h0m25s,00012.917600,A1,848,1.32672,16,53,18.851393
   Recording Offset from File Start,0s,00013.729280,B5,166,0.764,9,18.444444,25.033806
,,00012.128640,C1,3390,2.7056,16,211.875,49.844601
Spike Detector Settings,,00013.803680,B3,707,4.78776,6,117.833333,250.570297
   Method,Adaptive Threshold Crossing,00019.320080,A2,582,0.6984,12,48.5,36.017357
   Threshold,6,00031.647200,B1,216,0.1864,16,13.5,12.801367
   Threshold Status,Variable,00045.279840,A6,1737,10.00248,6,289.5,520.912231
   Threshold Crossing Only,True,00025.999920,B3,7993,42.74888,15,532.866667,1957.343262
   Pre-Spike Duration,0.84 ms,00079.375760,A2,64,0.1828,6,10.666667,9.551032
   Post-Spike Duration,2.16 ms,00084.705760,C1,264,0.53608,10,26.4,25.215868
   Coincident Event Filter,Default (Well),00083.000720,B3,3309,18.74928,11,300.818182,935.198181
   Coincidence Occurrence Threshold,4 Electrodes,00108.000960,A1,81,0.11728,16,5.0625,7.403283
