Investigator,Or,Time (s),Electrode,Amplitude (mV)
,,00324.178480,B2_24,0.103
,,00324.181440,B2_24,0.03
,,00324.183600,A3_42,0.034
,,00324.183760,C2_13,0.025
,,00324.185520,A3_24,0.035
,,00324.187120,A3_13,0.029
,,00324.188320,A3_42,0.028
,,00324.189920,A3_41,0.025
,,00324.191200,A3_42,0.043
,,00324.196000,A3_31,0.036
,,00324.197760,A1_24,0.034
,,00324.197760,A3_41,0.017
,,00324.198560,A3_12,0.033
,,00324.201440,A3_24,0.028
,,00324.204080,A3_24,0.024
,,00324.206640,A3_24,0.038
,,00324.210160,A3_41,0.022
,,00324.213120,A3_42,0.025
,,00324.215760,A3_13,0.029
,,00324.217840,A3_24,0.049
,,00324.221360,A1_24,0.025
,,00324.227440,A3_41,0.02
,,00324.229120,A3_24,0.047
,,00324.233600,A3_24,0.05
,,00324.238400,A3_13,0.038
,,00324.243120,A3_24,0.047
,,00324.246000,A3_21,0.036
,,00324.255280,A3_42,0.018
,,00324.260720,A3_13,0.027
,,00324.270080,C1_31,0.032
,,00324.274960,A3_24,0.051
,,00324.276720,A3_42,0.03
,,00324.278320,A3_24,0.03
,,00324.279120,A3_13,0.025
,,00324.281120,A3_24,0.033
,,00324.288640,A3_12,0.04
,,00324.291840,A3_31,0.036
,,00324.296720,B2_21,0.021
,,00324.298000,A3_24,0.154
,,00324.298560,A3_31,0.029
,,00324.300320,A3_33,0.036
,,00324.301120,A3_24,0.037
,,00324.302560,A3_12,0.029
,,00324.302880,A3_31,0.038
,,00324.303600,B4_31,0.049
,,00324.308400,A3_13,0.027
,,00324.312560,A3_24,0.03
,,00324.312560,A3_31,0.023
,,00324.318800,A3_13,0.022
,,00324.324720,A3_24,0.041
,,00324.326400,B1_23,0.049
,,00324.328080,A3_33,0.027
,,00324.330080,A3_24,0.042
,,00324.331040,A3_42,0.053
,,00324.334480,A3_24,0.054
,,00324.337200,A3_24,0.05
,,00324.340480,A3_24,0.02
,,00324.341920,C1_22,0.101
,,00324.343040,A3_41,0.016
,,00324.345600,A3_41,0.02
,,00324.350960,A3_42,0.026
,,00324.354480,A3_24,0.05
,,00324.356320,A3_12,0.031
,,00324.359760,A3_21,0.039
,,00324.366960,A3_42,0.057
,,00324.369600,A3_42,0.039
,,00324.370960,A3_12,0.025
,,00324.370960,A3_13,0.026
,,00324.371920,A3_42,0.021
,,00324.382000,A3_31,0.028
,,00324.383760,A3_24,0.062
,,00324.386160,A3_24,0.036
,,00324.386320,A3_33,0.033
,,00324.391040,A3_12,0.029
,,00324.403520,A3_24,0.02
,,00324.404080,A3_31,0.022
,,00324.405680,A3_13,0.03
,,00324.406880,A3_31,0.031
,,00324.419440,A3_24,0.036
,,00324.423040,A3_12,0.023
,,00324.425600,A3_24,0.038
,,00324.427280,B1_23,0.045
,,00324.428240,C2_32,0.03
,,00324.437920,C1_11,0.025
,,00324.440400,B1_13,0.036
,,00324.441840,A3_31,0.026
,,00324.446480,A3_24,0.028
,,00324.447760,A3_13,0.023
,,00324.448480,A3_42,0.034
,,00324.452960,C1_31,0.034
,,00324.453120,B5_24,0.073
,,00324.454080,C2_23,0.02
,,00324.456800,C2_22,0.046
,,00324.460480,B1_23,0.042
,,00324.466320,C2_34,0.049
,,00324.469200,B5_24,0.054
,,00324.469520,A3_42,0.02
,,00324.469920,A3_13,0.025
,,00324.476800,A1_13,0.053
,,00324.483200,C2_32,0.03
,,00324.486640,A3_13,0.025
,,00324.488960,C2_13,0.021
,,00324.490880,C2_34,0.046
,,00324.492640,A3_13,0.021
,,00324.500160,A3_33,0.029
,,00324.500320,A3_42,0.021
,,00324.508000,B1_23,0.037
,,00324.512720,B5_42,0.034
,,00324.515200,A3_13,0.028
,,00324.519120,A3_24,0.034
,,00324.524320,A3_12,0.032
,,00324.529280,B2_21,0.035
,,00324.529920,A3_31,0.029
,,00324.543600,A3_24,0.032
,,00324.551920,A3_12,0.024
,,00324.554320,B1_23,0.092
,,00324.555120,A3_42,0.032
,,00324.559520,A1_13,0.051
,,00324.562800,A3_33,0.025
,,00324.570560,A3_21,0.035
,,00324.570960,A3_13,0.026
,,00324.585760,C1_22,0.093
,,00324.587840,A1_12,0.028
,,00324.597840,A3_13,0.02
,,00324.606080,B1_23,0.033
,,00324.611600,A3_24,0.037
,,00324.614000,A3_42,0.035
,,00324.615520,C1_31,0.036
,,00324.619600,A3_41,0.016
,,00324.621440,B1_23,0.055
,,00324.627200,A3_24,0.036
,,00324.630000,B1_13,0.192
,,00324.632000,B1_23,0.034
,,00324.632640,B1_13,0.022
,,00324.650960,A3_12,0.034
,,00324.651760,A3_42,0.035
,,00324.663200,A3_42,0.039
,,00324.668960,A3_24,0.203
,,00324.671600,A3_24,0.02
,,00324.682800,B2_31,0.051
,,00324.689520,B2_31,0.037
,,00324.711680,A3_24,0.154
,,00324.712960,B2_31,0.034
,,00324.714880,A3_24,0.018
,,00324.716160,A3_31,0.038
,,00324.716880,A3_42,0.036
,,00324.720080,B1_23,0.072
,,00324.720480,A3_42,0.016
,,00324.720800,A3_24,0.032
,,00324.723360,B1_23,0.008
,,00324.724240,A3_31,0.048
,,00324.727680,A3_42,0.036
,,00324.728880,B2_21,0.024
,,00324.731120,A3_24,0.041
,,00324.732880,A3_41,0.021
,,00324.733520,A3_24,0.019
,,00324.734240,A3_42,0.03
,,00324.736800,A3_42,0.025
,,00324.738400,A3_24,0.025
,,00324.746880,A3_41,0.017
,,00324.750800,A3_31,0.034
,,00324.754000,A3_24,0.026
,,00324.756400,A3_24,0.05
,,00324.758080,A3_21,0.036
,,00324.764960,C1_31,0.034
,,00324.780800,B5_42,0.198
,,00324.783920,B5_42,0.02
,,00324.836320,B5_22,0.053
,,00324.845840,B1_23,0.048
,,00324.848400,B1_23,0.029
,,00324.852320,A3_24,0.071
,,00324.858160,B5_24,0.075
,,00324.874240,B5_31,0.098
,,00324.875280,B5_24,0.067
,,00324.876720,B5_31,0.016
,,00324.883280,C1_31,0.031
,,00324.887840,A3_24,0.053
,,00324.897120,A1_23,0.098
,,00324.900480,A1_23,0.021
,,00324.900720,B1_23,0.044
,,00324.910560,B2_21,0.032
,,00324.918480,B4_32,0.059
,,00324.920720,A3_24,0.029
,,00324.923920,B4_32,0.025
,,00324.935760,B4_23,0.059
,,00324.936720,B4_13,0.118
,,00324.939600,B4_23,0.039
,,00324.952000,B4_23,0.028
,,00324.998160,A3_24,0.042
,,00325.005040,A1_23,0.089
,,00325.026800,C1_31,0.032
,,00325.032720,A3_42,0.024
,,00325.047760,A3_24,0.029
,,00325.053440,A3_42,0.022
,,00325.066400,A3_24,0.05
,,00325.068640,A3_24,0.077
,,00325.077520,A3_13,0.028
,,00325.084800,B5_24,0.067
,,00325.087120,A3_42,0.021
,,00325.089840,A3_24,0.038
,,00325.093040,B1_23,0.05
,,00325.093600,A3_24,0.033
,,00325.098160,A3_24,0.035
,,00325.105920,B5_24,0.036
,,00325.106720,A3_24,0.026
,,00325.111360,B1_23,0.083
,,00325.122960,B5_42,0.075
,,00325.125040,B2_21,0.036
,,00325.136880,A1_12,0.029
,,00325.146000,A3_31,0.069
,,00325.152000,A3_42,0.022
,,00325.165280,C1_31,0.031
,,00325.172640,C1_11,0.025
,,00325.181520,A3_24,0.032
,,00325.187360,A3_24,0.033
,,00325.189760,A3_13,0.03
,,00325.195680,A3_24,0.036
,,00325.215680,A3_42,0.021
,,00325.230400,A3_24,0.039
,,00325.242800,B5_42,0.221
,,00325.245680,B5_42,0.008
,,00325.269200,A3_13,0.028
,,00325.271200,A3_24,0.04
,,00325.274640,A3_24,0.035
,,00325.289120,B1_13,0.03
,,00325.289360,B1_23,0.061
,,00325.295600,B2_21,0.038
,,00325.309040,C1_31,0.034
,,00325.316640,A3_13,0.029
,,00325.317200,A1_12,0.029
,,00325.344720,A3_13,0.028
,,00325.345120,A3_24,0.042
,,00325.349760,A3_24,0.042
,,00325.365440,A3_42,0.033
,,00325.407600,A3_31,0.077
,,00325.411040,A3_31,0.021
,,00325.445760,A3_24,0.172
,,00325.448400,A3_24,0.009
,,00325.472400,A1_24,0.029
,,00325.475280,A3_24,0.163
,,00325.481920,A3_42,0.022
,,00325.482400,A3_24,0.071
,,00325.485120,A3_24,0.049
,,00325.488480,C1_31,0.031
,,00325.488560,A3_42,0.026
,,00325.488880,A3_24,0.047
,,00325.491680,A3_24,0.039
,,00325.497440,A3_33,0.027
,,00325.504000,C1_22,0.107
,,00325.504800,A3_24,0.135
,,00325.505680,A1_24,0.031
,,00325.507840,A3_24,0.021
,,00325.511040,B2_21,0.054
,,00325.512000,A3_24,0.056
,,00325.514320,B2_21,0.018
,,00325.519120,A3_31,0.05
,,00325.523280,B1_23,0.05
,,00325.523680,B5_24,0.075
,,00325.533840,B2_31,0.042
,,00325.534400,A3_24,0.046
,,00325.537120,A3_24,0.03
,,00325.539360,B1_23,0.086
,,00325.552400,A3_42,0.039
,,00325.552640,A3_24,0.124
,,00325.556480,A3_24,0.024
,,00325.570720,B2_21,0.034
,,00325.580080,A3_24,0.113
,,00325.580240,C1_22,0.091
,,00325.584000,A3_24,0.019
,,00325.638480,B2_21,0.021
,,00325.661760,C1_31,0.032
,,00325.666400,A1_12,0.033
,,00325.671360,B1_23,0.059
,,00325.671520,B2_21,0.05
,,00325.692240,A1_24,0.027
,,00325.698880,C1_22,0.087
,,00325.703440,B2_31,0.057
,,00325.721040,B2_31,0.042
,,00325.730880,B2_31,0.036
,,00325.755040,A3_24,0.04
,,00325.758320,A3_24,0.05
,,00325.766800,B5_24,0.072
,,00325.766880,A3_42,0.026
,,00325.771760,A3_42,0.033
,,00325.773600,B5_42,0.199
,,00325.777200,B5_42,0.021
,,00325.781040,A3_24,0.032
,,00325.783520,A3_24,0.043
,,00325.790080,A3_31,0.033
,,00325.794240,B1_23,0.086
,,00325.797600,A3_24,0.04
,,00325.800080,A3_24,0.136
,,00325.803200,A3_24,0.074
,,00325.806560,A3_24,0.033
,,00325.808000,B1_23,0.046
,,00325.808880,A3_24,0.025
,,00325.814960,A3_24,0.044
,,00325.817760,B2_24,0.039
,,00325.821600,B4_23,0.033
,,00325.821680,A3_24,0.071
,,00325.824000,A3_24,0.052
,,00325.829520,A3_24,0.043
,,00325.836960,A1_12,0.027
,,00325.837600,B2_21,0.047
,,00325.838000,C1_31,0.031
,,00325.839840,A3_24,0.037
,,00325.846160,B5_31,0.105
,,00325.861760,A3_41,0.018
,,00325.869280,A3_31,0.036
,,00325.869280,A3_42,0.032
,,00325.870800,A3_41,0.048
,,00325.871440,B2_12,0.032
,,00325.871600,A3_31,0.033
,,00325.872400,A3_24,0.062
,,00325.874560,A3_42,0.019
,,00325.874960,A3_41,0.028
,,00325.875520,A3_24,0.02
,,00325.877120,A3_31,0.049
,,00325.877120,A3_42,0.038
,,00325.878240,A3_21,0.037
,,00325.879760,A3_24,0.035
,,00325.881760,A3_31,0.037
,,00325.883280,A3_42,0.028
,,00325.885040,A3_41,0.017
,,00325.886720,A3_24,0.051
,,00325.888560,A3_42,0.044
,,00325.888880,B2_21,0.025
,,00325.890800,A3_42,0.031
,,00325.892240,A3_31,0.04
,,00325.892560,A3_41,0.036
,,00325.894800,A3_42,0.044
,,00325.895120,A3_31,0.034
,,00325.899120,A3_24,0.043
,,00325.902560,A3_31,0.07
,,00325.918400,A3_41,0.015
,,00325.922880,B5_24,0.079
,,00325.934400,B5_24,0.058
,,00325.982320,C1_31,0.028
,,00325.987680,B5_42,0.031
,,00326.003760,A3_31,0.061
,,00326.008480,B1_23,0.062
,,00326.013840,A3_24,0.071
,,00326.079360,A3_24,0.055
,,00326.100720,C1_31,0.028
,,00326.102480,B1_23,0.085
,,00326.113920,C1_22,0.095
,,00326.127600,B2_21,0.045
,,00326.147760,B5_24,0.071
,,00326.162720,A4_32,0.042
,,00326.169840,A3_24,0.048
,,00326.209760,A3_24,0.034
,,00326.232800,C1_31,0.031
,,00326.264560,B1_23,0.049
,,00326.265040,B5_42,0.066
,,00326.288000,B2_21,0.022
,,00326.289200,A1_24,0.031
,,00326.295600,A3_31,0.058
,,00326.322400,A1_24,0.027
,,00326.331440,B1_23,0.046
,,00326.345360,B5_42,0.207
,,00326.348400,B5_42,0.016
,,00326.349600,B1_13,0.029
,,00326.371920,B5_31,0.098
,,00326.376000,C1_31,0.034
,,00326.376480,C1_22,0.091
,,00326.396400,A1_12,0.032
,,00326.415680,A3_24,0.049
,,00326.420080,C2_13,0.026
,,00326.438800,A3_24,0.046
,,00326.450240,C1_31,0.033
,,00326.458880,A3_24,0.032
,,00326.465920,B5_24,0.069
,,00326.468080,C1_31,0.03
,,00326.468240,A3_24,0.054
,,00326.479520,A2_24,0.018
,,00326.484800,B1_23,0.031
,,00326.498000,B1_23,0.054
,,00326.498080,A3_31,0.051
,,00326.527440,B1_23,0.066
,,00326.534880,B1_23,0.083
,,00326.545360,A1_12,0.029
,,00326.564720,B2_21,0.038
,,00326.567280,C1_31,0.032
,,00326.584400,C1_31,0.032
,,00326.637280,B2_31,0.05
,,00326.644400,B2_31,0.034
,,00326.666320,B1_23,0.051
,,00326.670720,C1_31,0.031
,,00326.692240,C1_31,0.025
,,00326.701840,C1_21,0.029
,,00326.710320,A1_23,0.033
,,00326.710960,B4_24,0.052
,,00326.731120,B2_21,0.048
,,00326.756480,B5_42,0.032
,,00326.772640,B5_24,0.071
,,00326.787280,B5_24,0.055
,,00326.800480,A1_24,0.03
,,00326.824160,B1_23,0.082
,,00326.831200,A3_24,0.057
,,00326.855600,A3_31,0.058
,,00326.859840,B1_23,0.049
,,00326.862960,A3_24,0.047
,,00326.865680,A1_12,0.027
,,00326.866880,A3_24,0.033
,,00326.872880,A3_42,0.019
,,00326.883440,B1_23,0.049
,,00326.884400,A3_42,0.024
,,00326.888880,B1_23,0.022
,,00326.895360,B2_21,0.037
,,00326.900480,B2_31,0.03
,,00326.906080,A3_31,0.075
,,00326.907360,B5_42,0.166
,,00326.909840,A3_24,0.058
,,00326.912960,C1_31,0.029
,,00326.918800,B1_23,0.063
,,00326.938640,B1_23,0.061
,,00326.938640,B2_24,0.04
,,00326.939520,A3_24,0.041
,,00326.939920,A3_42,0.036
,,00326.942640,A1_24,0.035
,,00326.944320,B4_31,0.054
,,00326.963760,B1_23,0.03
,,00326.966080,A3_24,0.046
,,00326.989520,A3_41,0.019
,,00326.996640,A3_24,0.044
,,00327.016240,A3_42,0.03
,,00327.017360,B1_23,0.047
,,00327.024960,A3_31,0.063
,,00327.027120,B5_42,0.029
,,00327.061120,B5_24,0.067
,,00327.068560,A3_24,0.028
,,00327.072160,B2_21,0.048
,,00327.111840,A3_31,0.065
,,00327.129040,A3_24,0.055
,,00327.138240,C1_22,0.105
,,00327.143120,B4_24,0.048
,,00327.147520,A3_41,0.026
,,00327.150560,A3_24,0.04
,,00327.152000,A3_31,0.056
,,00327.159120,B1_23,0.031
,,00327.161760,C1_31,0.031
,,00327.166720,C1_22,0.086
,,00327.168720,A3_24,0.04
,,00327.173760,A3_24,0.039
,,00327.174880,A3_42,0.029
,,00327.186560,C1_22,0.067
,,00327.197680,A1_24,0.028
,,00327.207520,C1_22,0.054
,,00327.228160,B2_24,0.043
,,00327.228480,C1_22,0.048
,,00327.241760,B2_41,0.026
,,00327.268640,A3_31,0.059
,,00327.293760,B2_41,0.019
,,00327.316960,C1_31,0.031
,,00327.318640,B4_23,0.039
,,00327.348480,B5_24,0.068
,,00327.350320,B5_31,0.099
,,00327.351040,A1_24,0.027
,,00327.353280,B5_31,0.024
,,00327.357760,B1_23,0.083
,,00327.359200,A3_31,0.021
,,00327.359760,B5_24,0.058
,,00327.377600,B4_11,0.024
,,00327.437280,B2_21,0.042
,,00327.478160,B2_31,0.048
,,00327.479040,C1_31,0.031
,,00327.482960,B2_21,0.041
,,00327.487040,C2_32,0.031
,,00327.509040,B5_42,0.182
,,00327.512000,B5_42,0.011
,,00327.513440,B1_13,0.029
,,00327.541440,A3_31,0.052
,,00327.541920,C2_34,0.054
,,00327.561280,B1_23,0.084
,,00327.599760,C1_31,0.031
,,00327.626720,C1_11,0.025
,,00327.629760,B2_24,0.031
,,00327.635360,B1_13,0.036
,,00327.652800,B4_23,0.027
,,00327.656560,A3_24,0.055
,,00327.661120,B2_31,0.052
,,00327.668400,B2_31,0.038
,,00327.692800,B1_23,0.063
,,00327.717120,B1_23,0.055
,,00327.722560,B1_23,0.055
,,00327.733280,B2_12,0.239
,,00327.735600,B2_12,0.024
,,00327.737840,B2_21,0.038
,,00327.746080,B2_24,0.084
,,00327.766400,B5_24,0.072
,,00327.771040,A1_12,0.027
,,00327.773360,B2_12,0.199
,,00327.775600,A1_24,0.019
,,00327.775920,B2_12,0.032
,,00327.777040,B4_23,0.048
,,00327.780000,C1_31,0.029
,,00327.785280,B4_23,0.027
,,00327.799760,A3_42,0.021
,,00327.801840,A3_31,0.049
,,00327.824160,A3_24,0.065
,,00327.852320,B2_24,0.062
,,00327.861120,A3_24,0.051
,,00327.861440,B2_24,0.043
,,00327.864080,B2_24,0.031
,,00327.866880,B2_24,0.099
,,00327.868320,B2_21,0.06
,,00327.893600,B2_21,0.148
,,00327.896480,B2_21,0.022
,,00327.898400,B1_23,0.084
,,00327.900080,B2_21,0.085
,,00327.901280,B1_23,0.015
,,00327.903120,B2_21,0.032
,,00327.905600,B2_21,0.037
,,00327.905840,B2_31,0.042
,,00327.917760,B5_42,0.035
,,00327.920480,B2_31,0.046
,,00327.922960,A3_42,0.022
,,00327.930480,B2_24,0.081
,,00327.933760,B2_24,0.033
,,00327.938400,B2_31,0.031
,,00327.947040,A3_24,0.044
,,00327.950000,B2_21,0.048
,,00327.955680,B5_24,0.067
,,00327.957920,B2_31,0.106
,,00327.965840,C1_31,0.033
,,00327.978080,B5_24,0.06
,,00327.978560,C1_31,0.023
,,00327.983760,B4_24,0.05
,,00327.989760,B5_24,0.035
,,00327.993600,C1_31,0.026
,,00327.997840,B5_32,0.025
,,00328.016480,B5_31,0.026
,,00328.024640,B5_24,0.035
,,00328.047600,C1_31,0.025
,,00328.051120,B5_31,0.079
,,00328.053680,B5_31,0.014
,,00328.058080,B2_21,0.039
,,00328.059280,B5_31,0.035
,,00328.086880,B1_23,0.084
,,00328.087280,A3_42,0.037
,,00328.109120,A3_31,0.051
,,00328.118080,B1_23,0.06
,,00328.130960,A4_32,0.042
,,00328.194880,A3_24,0.038
,,00328.283840,C1_31,0.03
,,00328.324080,B5_24,0.078
,,00328.361840,B5_24,0.057
,,00328.367520,A2_33,0.025
,,00328.371760,A3_42,0.024
,,00328.373680,B5_24,0.049
,,00328.375200,A1_24,0.029
,,00328.382640,B1_23,0.049
,,00328.388480,A2_33,0.017
,,00328.400480,B1_23,0.079
,,00328.403520,B2_21,0.045
,,00328.406000,B2_21,0.022
,,00328.417920,B1_23,0.047
,,00328.422560,B1_23,0.062
,,00328.449440,B2_12,0.039
,,00328.462080,C1_31,0.026
,,00328.490320,A1_12,0.019
,,00328.524640,B4_23,0.029
,,00328.564160,A3_31,0.049
,,00328.584000,C2_41,0.019
,,00328.602480,A2_24,0.018
,,00328.611280,C1_22,0.104
,,00328.612800,C1_31,0.029
,,00328.631200,B1_23,0.048
,,00328.634640,B1_23,0.088
,,00328.683200,A3_31,0.077
,,00328.694240,B5_42,0.03
,,00328.704160,B1_23,0.048
,,00328.706320,B5_24,0.071
,,00328.721840,A1_24,0.031
,,00328.723440,B1_23,0.062
,,00328.729760,C1_31,0.029
,,00328.747120,A1_24,0.028
,,00328.752160,B5_42,0.223
,,00328.755360,B5_42,0.014
,,00328.758240,A3_24,0.034
,,00328.775600,B2_21,0.037
,,00328.780560,A3_12,0.043
,,00328.800320,A3_31,0.046
,,00328.807040,A3_24,0.046
,,00328.810320,B5_42,0.033
,,00328.814640,A3_31,0.026
,,00328.837040,B2_21,0.05
,,00328.854560,B1_23,0.079
,,00328.856640,A1_23,0.03
,,00328.862240,A1_12,0.025
,,00328.868480,B2_24,0.027
,,00328.871360,C1_31,0.03
,,00328.919120,C1_22,0.1
,,00328.921360,B2_12,0.234
,,00328.924640,B2_12,0.04
,,00328.934320,C1_31,0.037
,,00328.942000,B2_24,0.083
,,00328.948720,B2_21,0.052
,,00328.951440,B2_21,0.018
,,00328.962800,B2_31,0.048
,,00328.972000,B2_21,0.024
,,00328.972080,B2_31,0.037
,,00328.973760,A3_24,0.034
,,00328.977680,B5_24,0.072
,,00328.982320,B2_31,0.044
,,00328.988480,B5_24,0.053
,,00328.992160,A1_13,0.052
,,00328.997760,B1_13,0.03
,,00328.997920,A3_24,0.069
,,00329.004880,A3_24,0.058
,,00329.035920,B1_23,0.051
,,00329.054640,D1_41,0.032
,,00329.054800,D1_12,0.016
,,00329.054800,D1_31,0.019
,,00329.055360,D1_42,0.018
,,00329.055440,D1_44,0.027
,,00329.055680,D1_43,0.027
,,00329.058400,D1_11,0.046
,,00329.059040,B1_23,0.078
,,00329.060000,D1_41,0.043
,,00329.060080,D1_31,0.029
,,00329.060400,D1_21,0.029
,,00329.060640,D1_13,0.034
,,00329.060800,D1_32,0.019
,,00329.060800,D1_44,0.014
,,00329.060880,D1_43,0.013
,,00329.060960,D1_33,0.021
,,00329.061040,D1_42,0.023
,,00329.061840,D4_44,0.021
,,00329.063520,B1_23,0.066
,,00329.064880,D1_44,0.022
,,00329.064960,D1_14,0.03
,,00329.064960,D1_24,0.023
,,00329.064960,D1_31,0.037
,,00329.065040,D1_34,0.028
,,00329.065040,D1_42,0.029
,,00329.065520,D1_21,0.045
,,00329.065600,D1_23,0.031
,,00329.065600,D1_33,0.026
,,00329.066160,D1_11,0.048
,,00329.067360,D1_41,0.081
,,00329.067600,D1_31,0.056
,,00329.067680,D1_34,0.027
,,00329.067760,D1_22,0.04
,,00329.068000,D1_13,0.041
,,00329.068000,D1_32,0.026
,,00329.068320,D1_12,0.039
,,00329.068320,D1_23,0.039
,,00329.068320,D1_24,0.037
,,00329.068400,D1_14,0.022
,,00329.068400,D1_33,0.033
,,00329.068400,D1_44,0.03
,,00329.068640,D1_42,0.025
,,00329.068640,D1_43,0.019
,,00329.070080,B5_42,0.199
,,00329.071440,D1_11,0.02
,,00329.071520,D1_14,0.018
,,00329.071520,D1_33,0.014
,,00329.072320,D1_23,0.009
,,00329.072400,D1_22,0.012
,,00329.072400,D1_41,0.021
,,00329.072480,D1_34,0.01
,,00329.072560,D1_32,0.013
,,00329.072560,D1_44,0.011
,,00329.073440,B5_42,0.014
,,00329.073760,D1_43,0.024
,,00329.074000,D1_14,0.036
,,00329.074160,D1_42,0.041
,,00329.074320,D1_33,0.05
,,00329.074480,D1_31,0.084
,,00329.074640,A3_24,0.058
,,00329.074720,D1_11,0.067
,,00329.074720,D1_12,0.069
,,00329.074800,D1_13,0.067
,,00329.074800,D1_23,0.053
,,00329.074800,D1_44,0.052
,,00329.075680,D1_41,0.043
,,00329.075760,D1_21,0.031
,,00329.076080,D1_22,0.014
,,00329.076240,D1_14,0.009
,,00329.076240,D1_24,0.012
,,00329.076240,D1_43,0.022
,,00329.076320,D1_32,0.01
,,00329.076400,D1_34,0.012
,,00329.076800,D1_42,0.024
,,00329.077120,D1_12,0.019
,,00329.077440,D1_23,0.019
,,00329.077920,A3_24,0.036
,,00329.080400,D1_11,0.033
,,00329.080400,D1_13,0.031
,,00329.080400,D1_41,0.055
,,00329.080480,D1_12,0.034
,,00329.080480,D1_21,0.032
,,00329.080640,D1_32,0.015
,,00329.080640,D1_42,0.014
,,00329.080720,D1_43,0.023
,,00329.082800,D1_11,0.034
,,00329.084640,D1_41,0.063
,,00329.084720,D1_31,0.033
,,00329.084960,D1_21,0.043
,,00329.084960,D1_24,0.03
,,00329.084960,D1_44,0.029
,,00329.085040,D1_32,0.031
,,00329.085120,D1_34,0.023
,,00329.085200,D1_12,0.034
,,00329.085200,D1_14,0.022
,,00329.085200,D1_43,0.029
,,00329.085600,D1_42,0.015
,,00329.087520,D1_34,0.02
,,00329.087520,D1_44,0.019
,,00329.087760,D1_43,0.027
,,00329.087920,D1_32,0.021
,,00329.091600,D1_31,0.018
,,00329.091600,D1_41,0.033
,,00329.092080,D1_12,0.02
,,00329.092080,D1_13,0.025
,,00329.092080,D1_21,0.029
,,00329.092160,D1_22,0.018
,,00329.092240,D1_23,0.018
,,00329.092320,D1_11,0.027
,,00329.092320,D1_24,0.023
,,00329.092400,D1_14,0.017
,,00329.092400,D1_32,0.014
,,00329.092400,D1_34,0.022
,,00329.092480,D1_44,0.016
,,00329.092960,D1_43,0.018
,,00329.093120,D1_42,0.029
,,00329.093680,D1_33,0.062
,,00329.095760,D1_41,0.095
,,00329.095840,D1_31,0.058
,,00329.095920,D1_22,0.05
,,00329.098880,A3_24,0.06
,,00329.102560,D1_41,0.037
,,00329.104800,D1_41,0.042
,,00329.105040,D1_13,0.025
,,00329.105040,D1_31,0.033
,,00329.105200,D1_24,0.026
,,00329.105280,D1_32,0.024
,,00329.105280,D1_34,0.022
,,00329.105280,D1_44,0.025
,,00329.105360,D1_33,0.026
,,00329.105440,D1_14,0.025
,,00329.105440,D1_42,0.021
,,00329.107120,A1_12,0.027
,,00329.109280,C1_31,0.036
,,00329.110240,D1_31,0.036
,,00329.110240,D1_41,0.036
,,00329.110480,D1_22,0.033
,,00329.111120,D1_42,0.019
,,00329.111200,D1_33,0.017
,,00329.114000,D1_11,0.016
,,00329.114000,D1_12,0.018
,,00329.117600,D1_41,0.034
,,00329.117760,D1_31,0.034
,,00329.117840,D1_21,0.027
,,00329.118240,D1_11,0.029
,,00329.118400,D1_32,0.027
,,00329.118400,D1_33,0.027
,,00329.118400,D1_42,0.027
,,00329.122240,D1_41,0.066
,,00329.122320,D1_11,0.032
,,00329.122320,D1_12,0.036
,,00329.122320,D1_22,0.041
,,00329.122400,D1_13,0.032
,,00329.122400,D1_14,0.028
,,00329.122400,D1_31,0.047
,,00329.122480,D1_24,0.029
,,00329.122480,D1_33,0.028
,,00329.122560,D1_44,0.033
,,00329.122640,D1_21,0.042
,,00329.126480,D1_41,0.037
,,00329.133040,A3_24,0.041
,,00329.134880,D1_41,0.054
,,00329.136960,A3_24,0.061
,,00329.141440,D1_31,0.035
,,00329.141440,D1_41,0.049
,,00329.155040,D1_31,0.04
,,00329.155040,D1_41,0.055
,,00329.155120,D1_11,0.03
,,00329.155120,D1_24,0.028
,,00329.155120,D1_33,0.029
,,00329.165280,A3_31,0.072
,,00329.168800,A3_31,0.023
,,00329.174640,A3_42,0.023
,,00329.190160,A3_24,0.039
,,00329.200400,B5_42,0.032
,,00329.218720,A3_42,0.034
,,00329.223920,C2_13,0.039
,,00329.230480,C1_22,0.095
,,00329.233440,C1_22,0.017
,,00329.245600,A3_42,0.023
,,00329.248240,A3_12,0.042
,,00329.249040,A3_42,0.022
,,00329.252160,B1_13,0.033
,,00329.265120,A3_42,0.034
,,00329.267040,C1_31,0.036
,,00329.269680,A3_24,0.037
,,00329.279520,C1_22,0.075
,,00329.282240,A3_31,0.071
,,00329.284720,B2_12,0.061
,,00329.292560,B2_21,0.032
,,00329.293120,B2_31,0.038
,,00329.294880,B2_21,0.041
,,00329.301360,B2_21,0.031
,,00329.301440,B2_31,0.1
,,00329.303680,B2_31,0.064
,,00329.304000,B2_12,0.052
,,00329.304080,B2_24,0.045
,,00329.306160,B5_24,0.066
,,00329.306240,B2_12,0.09
,,00329.306240,B2_31,0.039
,,00329.306560,B2_21,0.033
,,00329.313760,B2_31,0.041
,,00329.314240,B2_24,0.036
,,00329.315120,A3_31,0.053
,,00329.315280,B5_42,0.072
,,00329.318080,B2_31,0.041
,,00329.318320,A3_31,0.023
,,00329.318960,B2_21,0.074
,,00329.332240,B2_24,0.046
,,00329.332960,B2_21,0.029
