Investigator,,Time (s),Electrode,Amplitude (mV)
,,00031.544000,A1_44,0.027
,,00031.544160,A1_65,0.142
,,00031.544240,A1_56,0.029
,,00031.544320,A1_86,0.035
,,00031.544480,A1_33,0.027
,,00031.544480,A1_76,0.027
,,00031.544640,A1_52,0.036
,,00031.544640,A1_62,0.025
,,00031.544720,A1_28,0.035
,,00031.544720,A1_42,0.028
,,00031.545120,A1_73,0.047
,,00031.545360,A1_24,0.045
,,00031.545360,A1_31,0.037
,,00031.545440,A1_78,0.039
,,00031.545600,A1_66,0.127
,,00031.545600,A1_88,0.057
,,00031.545840,A1_15,0.038
,,00031.545840,A1_38,0.08
,,00031.545840,A1_58,0.038
,,00031.545920,A1_14,0.031
,,00031.545920,A1_41,0.059
,,00031.546000,A1_54,0.073
,,00031.546000,A1_81,0.029
,,00031.546080,A1_35,0.063
,,00031.546160,A1_32,0.065
,,00031.546240,A1_23,0.055
,,00031.546400,A1_46,0.058
,,00031.546400,A1_47,0.035
,,00031.546400,A1_83,0.051
,,00031.546480,A1_13,0.062
,,00031.546560,A1_86,0.06
,,00031.546640,A1_61,0.044
,,00031.546640,A1_67,0.032
,,00031.546720,A1_17,0.034
,,00031.546720,A1_55,0.034
,,00031.546800,A1_53,0.068
,,00031.546800,A1_84,0.051
,,00031.546960,A1_28,0.036
,,00031.546960,A1_72,0.063
,,00031.546960,A1_75,0.068
,,00031.547120,A1_12,0.074
,,00031.547120,A1_26,0.033
,,00031.547280,A1_27,0.043
,,00031.547360,A1_42,0.05
,,00031.547360,A1_44,0.047
,,00031.547360,A1_63,0.029
,,00031.547440,A1_52,0.079
,,00031.547440,A1_74,0.04
,,00031.547600,A1_57,0.038
,,00031.547600,A1_85,0.033
,,00031.547680,A1_37,0.039
,,00031.547680,A1_56,0.054
,,00031.548000,A1_62,0.046
,,00031.548000,A1_87,0.043
,,00031.548080,A1_24,0.043
,,00031.548080,A1_25,0.061
,,00031.548160,A1_22,0.054
,,00031.548160,A1_78,0.096
,,00031.548160,A1_82,0.131
,,00031.548240,A1_18,0.071
,,00031.548240,A1_36,0.084
,,00031.548320,A1_14,0.034
,,00031.548320,A1_48,0.066
,,00031.548320,A1_58,0.042
,,00031.548400,A1_38,0.122
,,00031.548400,A1_54,0.108
,,00031.548480,A1_35,0.122
,,00031.548560,A1_73,0.032
,,00031.548640,A1_32,0.058
,,00031.548720,A1_23,0.068
,,00031.548720,A1_68,0.052
,,00031.548960,A1_66,0.118
,,00031.548960,A1_88,0.052
,,00031.549040,A1_67,0.181
,,00031.549120,A1_53,0.078
,,00031.549120,A1_84,0.031
,,00031.549280,A1_15,0.036
,,00031.549280,A1_65,0.129
,,00031.549440,A1_16,0.072
,,00031.549440,A1_26,0.077
,,00031.549440,A1_51,0.105
,,00031.549520,A1_33,0.119
,,00031.549600,A1_34,0.134
,,00031.549600,A1_45,0.065
,,00031.549680,A1_17,0.058
,,00031.549680,A1_64,0.034
,,00031.549680,A1_74,0.064
,,00031.549760,A1_11,0.067
,,00031.549920,A1_76,0.05
,,00031.550080,A1_12,0.044
,,00031.550080,A1_37,0.03
,,00031.550080,A1_85,0.027
,,00031.550160,A1_61,0.059
,,00031.550320,A1_42,0.03
,,00031.550320,A1_55,0.043
,,00031.550320,A1_62,0.061
,,00031.550400,A1_24,0.057
,,00031.550480,A1_77,0.031
,,00031.550480,A1_78,0.059
,,00031.550560,A1_22,0.056
,,00031.550640,A1_38,0.032
,,00031.550720,A1_27,0.029
,,00031.550720,A1_54,0.075
,,00031.550720,A1_82,0.056
,,00031.550800,A1_35,0.049
,,00031.550800,A1_81,0.03
,,00031.550800,A1_87,0.033
,,00031.550880,A1_36,0.029
,,00031.550960,A1_58,0.038
,,00031.550960,A1_73,0.058
,,00031.551040,A1_14,0.037
,,00031.551040,A1_48,0.057
,,00031.551120,A1_18,0.033
,,00031.551120,A1_71,0.055
,,00031.551200,A1_31,0.04
,,00031.551200,A1_88,0.062
,,00031.551520,A1_83,0.035
,,00031.551600,A1_53,0.068
,,00031.551600,A1_75,0.067
,,00031.551680,A1_67,0.026
,,00031.551760,A1_16,0.024
,,00031.551840,A1_33,0.035
,,00031.551840,A1_34,0.034
,,00031.552000,A1_26,0.02
,,00031.552000,A1_66,0.095
,,00031.552000,A1_74,0.056
,,00031.552080,A1_41,0.031
,,00031.552160,A1_65,0.126
,,00031.552240,A1_15,0.052
,,00031.552480,A1_11,0.04
,,00031.552480,A1_23,0.068
,,00031.552560,A1_42,0.026
,,00031.552560,A1_52,0.087
,,00031.552560,A1_86,0.039
,,00031.552720,A1_55,0.086
,,00031.552720,A1_61,0.047
,,00031.552880,A1_17,0.055
,,00031.552880,A1_64,0.039
,,00031.552880,A1_84,0.032
,,00031.553040,A1_63,0.051
,,00031.553040,A1_72,0.155
,,00031.553040,A1_82,0.083
,,00031.553120,A1_28,0.031
,,00031.553200,A1_22,0.052
,,00031.553280,A1_27,0.034
,,00031.553360,A1_18,0.044
,,00031.553360,A1_48,0.046
,,00031.553440,A1_35,0.031
,,00031.553440,A1_81,0.025
,,00031.553600,A1_32,0.031
,,00031.553680,A1_58,0.08
,,00031.553920,A1_25,0.046
,,00031.554000,A1_12,0.061
,,00031.554000,A1_78,0.07
,,00031.554320,A1_74,0.035
,,00031.554320,A1_77,0.033
,,00031.554640,A1_36,0.046
,,00031.554640,A1_56,0.062
,,00031.554640,A1_76,0.054
,,00031.554720,A1_26,0.041
,,00031.554720,A1_44,0.044
,,00031.554800,A1_23,0.051
,,00031.554960,A1_15,0.047
,,00031.554960,A1_55,0.038
,,00031.555120,A1_52,0.076
,,00031.555200,A1_33,0.113
,,00031.555280,A1_65,0.12
,,00031.555360,A1_42,0.042
,,00031.555360,A1_82,0.117
,,00031.555440,A1_38,0.03
,,00031.555440,A1_68,0.046
,,00031.555520,A1_17,0.04
,,00031.555520,A1_34,0.126
,,00031.555520,A1_72,0.087
,,00031.555600,A1_18,0.066
,,00031.555600,A1_24,0.041
,,00031.555600,A1_48,0.084
,,00031.555680,A1_28,0.03
,,00031.555680,A1_62,0.032
,,00031.555760,A1_87,0.045
,,00031.555920,A1_35,0.1
,,00031.556000,A1_37,0.04
,,00031.556000,A1_45,0.04
,,00031.556000,A1_71,0.041
,,00031.556080,A1_21,0.038
,,00031.556080,A1_27,0.056
,,00031.556080,A1_57,0.04
,,00031.556320,A1_13,0.04
,,00031.556320,A1_47,0.028
,,00031.556320,A1_63,0.038
,,00031.556400,A1_31,0.025
,,00031.556400,A1_53,0.041
,,00031.556480,A1_54,0.091
,,00031.556560,A1_78,0.035
,,00031.556720,A1_81,0.044
,,00031.556880,A1_25,0.061
,,00031.556960,A1_44,0.036
,,00031.556960,A1_58,0.033
,,00031.556960,A1_85,0.03
,,00031.557120,A1_11,0.073
,,00031.557200,A1_15,0.04
,,00031.557200,A1_23,0.098
,,00031.557280,A1_51,0.11
,,00031.557280,A1_86,0.051
,,00031.557440,A1_26,0.054
,,00031.557600,A1_55,0.043
,,00031.557600,A1_65,0.143
,,00031.557600,A1_67,0.03
,,00031.557680,A1_56,0.028
,,00031.557680,A1_77,0.047
,,00031.557760,A1_72,0.101
,,00031.557920,A1_18,0.059
,,00031.558000,A1_17,0.021
,,00031.558000,A1_48,0.033
,,00031.558000,A1_82,0.113
,,00031.558080,A1_68,0.029
,,00031.558160,A1_38,0.101
,,00031.558160,A1_66,0.12
,,00031.558240,A1_33,0.059
,,00031.558240,A1_45,0.04
,,00031.558320,A1_28,0.049
,,00031.558320,A1_34,0.03
,,00031.558400,A1_32,0.04
,,00031.558400,A1_52,0.048
,,00031.558480,A1_16,0.07
,,00031.558560,A1_24,0.066
,,00031.558560,A1_87,0.049
,,00031.558560,A1_88,0.076
,,00031.558800,A1_63,0.059
,,00031.558800,A1_75,0.058
,,00031.559040,A1_14,0.039
,,00031.559040,A1_31,0.059
,,00031.559120,A1_25,0.034
,,00031.559120,A1_62,0.066
,,00031.559200,A1_46,0.061
,,00031.559200,A1_76,0.106
,,00031.559200,A1_78,0.051
,,00031.559280,A1_36,0.027
,,00031.559280,A1_41,0.017
,,00031.559280,A1_71,0.044
,,00031.559440,A1_42,0.04
,,00031.559520,A1_37,0.042
,,00031.559520,A1_51,0.341
,,00031.559600,A1_74,0.068
,,00031.559920,A1_55,0.117
,,00031.560000,A1_23,0.058
,,00031.560000,A1_84,0.044
,,00031.560000,A1_85,0.031
,,00031.560080,A1_56,0.043
,,00031.560080,A1_65,0.12
,,00031.560080,A1_86,0.034
,,00031.560240,A1_18,0.052
,,00031.560480,A1_15,0.047
,,00031.560480,A1_38,0.035
,,00031.560480,A1_48,0.064
,,00031.560560,A1_28,0.034
,,00031.560640,A1_17,0.04
,,00031.560640,A1_82,0.137
,,00031.560880,A1_33,0.04
,,00031.561040,A1_32,0.056
,,00031.561040,A1_45,0.054
,,00031.561040,A1_52,0.073
,,00031.561200,A1_53,0.161
,,00031.561200,A1_63,0.049
,,00031.561200,A1_75,0.073
,,00031.561280,A1_35,0.196
,,00031.561440,A1_61,0.044
,,00031.561600,A1_46,0.049
,,00031.561680,A1_76,0.052
,,00031.561760,A1_27,0.032
,,00031.561840,A1_21,0.041
,,00031.561920,A1_74,0.043
,,00031.561920,A1_78,0.094
,,00031.562000,A1_13,0.05
,,00031.562000,A1_31,0.047
,,00031.562080,A1_36,0.058
,,00031.562240,A1_22,0.047
,,00031.562320,A1_44,0.023
,,00031.562560,A1_86,0.038
,,00031.562640,A1_77,0.035
,,00031.562720,A1_11,0.096
,,00031.562720,A1_15,0.041
,,00031.562720,A1_56,0.033
,,00031.562800,A1_72,0.111
,,00031.562880,A1_23,0.079
,,00031.562880,A1_47,0.033
,,00031.562880,A1_65,0.126
,,00031.563040,A1_71,0.081
,,00031.563120,A1_37,0.039
,,00031.563120,A1_82,0.158
,,00031.563200,A1_48,0.04
,,00031.563200,A1_66,0.055
,,00031.563280,A1_18,0.05
,,00031.563280,A1_33,0.058
,,00031.563280,A1_67,0.106
,,00031.563360,A1_32,0.074
,,00031.563440,A1_52,0.097
,,00031.563440,A1_62,0.077
,,00031.563440,A1_75,0.051
,,00031.563520,A1_38,0.133
,,00031.563600,A1_12,0.028
,,00031.563600,A1_16,0.031
,,00031.563680,A1_28,0.035
,,00031.563680,A1_85,0.028
,,00031.563760,A1_35,0.048
,,00031.563840,A1_45,0.048
,,00031.563920,A1_46,0.076
,,00031.563920,A1_81,0.036
,,00031.564000,A1_42,0.07
,,00031.564000,A1_63,0.032
,,00031.564000,A1_76,0.048
,,00031.564320,A1_78,0.048
,,00031.564320,A1_84,0.034
,,00031.564480,A1_55,0.054
,,00031.564560,A1_64,0.031
,,00031.564880,A1_14,0.034
,,00031.564960,A1_25,0.039
,,00031.564960,A1_44,0.052
,,00031.565120,A1_56,0.046
,,00031.565120,A1_72,0.049
,,00031.565200,A1_23,0.05
,,00031.565280,A1_41,0.039
,,00031.565280,A1_86,0.054
,,00031.565360,A1_65,0.091
,,00031.565440,A1_11,0.027
,,00031.565600,A1_24,0.072
,,00031.565600,A1_48,0.055
,,00031.565600,A1_66,0.048
,,00031.565680,A1_15,0.049
,,00031.565680,A1_47,0.042
,,00031.565680,A1_52,0.055
,,00031.565760,A1_53,0.047
,,00031.565840,A1_33,0.072
,,00031.565920,A1_67,0.036
,,00031.566080,A1_35,0.047
,,00031.566160,A1_16,0.039
,,00031.566160,A1_82,0.163
,,00031.566240,A1_18,0.045
,,00031.566240,A1_45,0.051
,,00031.566240,A1_63,0.036
,,00031.566320,A1_42,0.043
,,00031.566400,A1_32,0.038
,,00031.566400,A1_46,0.024
,,00031.566480,A1_73,0.03
,,00031.566480,A1_83,0.028
,,00031.566640,A1_17,0.038
,,00031.566800,A1_62,0.042
,,00031.566800,A1_84,0.041
,,00031.566800,A1_88,0.043
,,00031.566880,A1_12,0.078
,,00031.566880,A1_57,0.041
,,00031.566960,A1_28,0.027
,,00031.566960,A1_75,0.046
,,00031.567040,A1_31,0.051
,,00031.567040,A1_58,0.033
,,00031.567280,A1_74,0.035
,,00031.567360,A1_13,0.04
,,00031.567360,A1_14,0.038
,,00031.567360,A1_78,0.06
,,00031.567440,A1_72,0.045
,,00031.567520,A1_26,0.036
,,00031.567840,A1_41,0.05
,,00031.567840,A1_77,0.053
,,00031.568000,A1_24,0.048
,,00031.568000,A1_53,0.059
,,00031.568080,A1_15,0.041
,,00031.568080,A1_51,0.097
,,00031.568160,A1_66,0.077
,,00031.568240,A1_48,0.062
,,00031.568240,A1_61,0.055
,,00031.568320,A1_81,0.03
,,00031.568400,A1_82,0.151
,,00031.568480,A1_47,0.052
,,00031.568560,A1_35,0.071
,,00031.568560,A1_45,0.023
,,00031.568560,A1_63,0.036
,,00031.568640,A1_42,0.036
,,00031.568720,A1_46,0.127
,,00031.568800,A1_27,0.047
,,00031.568800,A1_67,0.082
,,00031.568880,A1_73,0.038
,,00031.568880,A1_83,0.04
,,00031.568880,A1_85,0.023
,,00031.568960,A1_18,0.049
,,00031.569040,A1_33,0.041
,,00031.569040,A1_87,0.042
,,00031.569120,A1_17,0.05
,,00031.569200,A1_12,0.074
,,00031.569440,A1_36,0.064
,,00031.569440,A1_55,0.05
,,00031.569680,A1_13,0.041
,,00031.569760,A1_26,0.047
,,00031.570000,A1_38,0.054
,,00031.570000,A1_72,0.074
,,00031.570080,A1_68,0.031
,,00031.570240,A1_22,0.034
,,00031.570240,A1_76,0.056
,,00031.570240,A1_78,0.088
,,00031.570320,A1_11,0.053
,,00031.570320,A1_37,0.03
,,00031.570400,A1_21,0.054
,,00031.570400,A1_23,0.042
,,00031.570560,A1_24,0.05
,,00031.570560,A1_41,0.036
,,00031.570560,A1_65,0.11
,,00031.570640,A1_71,0.052
,,00031.570720,A1_28,0.052
,,00031.570720,A1_48,0.083
,,00031.570800,A1_47,0.044
,,00031.570800,A1_52,0.044
,,00031.570880,A1_86,0.056
,,00031.570960,A1_35,0.051
,,00031.571120,A1_85,0.024
,,00031.571200,A1_45,0.033
,,00031.571280,A1_74,0.07
,,00031.571360,A1_27,0.054
,,00031.571440,A1_63,0.033
,,00031.571440,A1_73,0.041
,,00031.571520,A1_18,0.034
,,00031.571520,A1_67,0.097
,,00031.571600,A1_17,0.043
,,00031.571600,A1_64,0.031
,,00031.571840,A1_12,0.043
,,00031.571840,A1_32,0.056
,,00031.571840,A1_36,0.031
,,00031.572080,A1_15,0.038
,,00031.572080,A1_44,0.044
,,00031.572080,A1_62,0.05
,,00031.572160,A1_13,0.033
,,00031.572160,A1_16,0.037
,,00031.572160,A1_26,0.033
,,00031.572240,A1_57,0.064
,,00031.572240,A1_58,0.064
,,00031.572320,A1_38,0.032
,,00031.572480,A1_25,0.046
,,00031.572480,A1_68,0.046
,,00031.572560,A1_11,0.04
,,00031.572560,A1_33,0.047
,,00031.572560,A1_72,0.087
,,00031.572720,A1_78,0.038
,,00031.572800,A1_23,0.086
,,00031.572800,A1_24,0.072
,,00031.572800,A1_84,0.066
,,00031.572880,A1_65,0.056
,,00031.572960,A1_71,0.051
,,00031.573040,A1_51,0.092
,,00031.573040,A1_52,0.056
,,00031.573200,A1_87,0.044
,,00031.573360,A1_54,0.072
,,00031.573600,A1_31,0.074
,,00031.573680,A1_21,0.031
,,00031.573760,A1_53,0.067
,,00031.573840,A1_61,0.037
,,00031.573920,A1_63,0.033
,,00031.573920,A1_73,0.045
,,00031.574000,A1_17,0.053
,,00031.574080,A1_18,0.056
,,00031.574240,A1_45,0.048
,,00031.574240,A1_75,0.051
,,00031.574400,A1_32,0.05
,,00031.574480,A1_88,0.053
,,00031.574560,A1_15,0.065
,,00031.574560,A1_83,0.019
,,00031.574640,A1_13,0.052
,,00031.574640,A1_38,0.049
,,00031.574640,A1_58,0.048
,,00031.574720,A1_25,0.058
,,00031.574800,A1_36,0.035
,,00031.574800,A1_77,0.047
,,00031.574960,A1_44,0.063
,,00031.574960,A1_55,0.08
,,00031.574960,A1_86,0.05
,,00031.575040,A1_62,0.052
,,00031.575120,A1_33,0.056
,,00031.575120,A1_74,0.031
,,00031.575120,A1_84,0.043
,,00031.575200,A1_16,0.039
,,00031.575200,A1_26,0.042
,,00031.575200,A1_71,0.044
,,00031.575280,A1_81,0.03
,,00031.575360,A1_34,0.068
,,00031.575360,A1_72,0.048
,,00031.575520,A1_82,0.128
,,00031.575600,A1_22,0.055
,,00031.575600,A1_23,0.039
,,00031.575600,A1_65,0.053
,,00031.575760,A1_14,0.027
,,00031.575760,A1_35,0.056
,,00031.575760,A1_46,0.06
,,00031.575840,A1_11,0.059
,,00031.575920,A1_51,0.113
,,00031.575920,A1_57,0.096
,,00031.576000,A1_31,0.05
,,00031.576000,A1_42,0.034
,,00031.576080,A1_87,0.03
,,00031.576160,A1_73,0.024
,,00031.576240,A1_17,0.048
,,00031.576240,A1_47,0.041
,,00031.576240,A1_48,0.11
,,00031.576400,A1_37,0.038
,,00031.576400,A1_41,0.026
,,00031.576480,A1_45,0.035
,,00031.576560,A1_18,0.034
,,00031.576640,A1_53,0.063
,,00031.576640,A1_75,0.06
,,00031.576720,A1_52,0.069
,,00031.576720,A1_54,0.052
,,00031.576720,A1_76,0.063
,,00031.576800,A1_27,0.032
,,00031.576800,A1_88,0.059
,,00031.576880,A1_58,0.044
,,00031.576960,A1_13,0.042
,,00031.576960,A1_61,0.05
,,00031.577040,A1_38,0.045
,,00031.577040,A1_77,0.033
,,00031.577120,A1_63,0.036
,,00031.577200,A1_44,0.029
,,00031.577360,A1_74,0.06
,,00031.577520,A1_16,0.045
,,00031.577520,A1_26,0.051
,,00031.577520,A1_64,0.043
,,00031.577600,A1_25,0.035
,,00031.577600,A1_86,0.073
,,00031.577680,A1_32,0.057
,,00031.577680,A1_36,0.032
,,00031.577680,A1_68,0.039
,,00031.577840,A1_34,0.056
,,00031.577840,A1_83,0.039
,,00031.577920,A1_24,0.057
,,00031.577920,A1_33,0.054
,,00031.577920,A1_62,0.043
,,00031.578000,A1_12,0.059
,,00031.578000,A1_23,0.095
,,00031.578000,A1_66,0.071
,,00031.578240,A1_11,0.049
,,00031.578240,A1_82,0.154
,,00031.578400,A1_22,0.047
,,00031.578480,A1_15,0.029
,,00031.578480,A1_55,0.06
,,00031.578480,A1_73,0.027
,,00031.578560,A1_28,0.023
,,00031.578560,A1_56,0.025
,,00031.578640,A1_72,0.161
,,00031.578720,A1_57,0.046
,,00031.578720,A1_65,0.078
,,00031.578720,A1_84,0.026
,,00031.578800,A1_17,0.039
,,00031.578800,A1_31,0.038
,,00031.578880,A1_51,0.061
,,00031.578960,A1_18,0.058
,,00031.579040,A1_53,0.079
,,00031.579120,A1_45,0.034
,,00031.579120,A1_76,0.067
,,00031.579200,A1_48,0.042
,,00031.579200,A1_52,0.061
,,00031.579360,A1_58,0.059
,,00031.579520,A1_61,0.034
,,00031.579600,A1_38,0.045
,,00031.579600,A1_46,0.067
,,00031.579680,A1_63,0.026
,,00031.579760,A1_78,0.043
,,00031.579760,A1_87,0.036
,,00031.580000,A1_86,0.062
,,00031.580080,A1_37,0.027
,,00031.580240,A1_13,0.04
,,00031.580320,A1_16,0.032
,,00031.580400,A1_74,0.026
,,00031.580400,A1_85,0.039
,,00031.580480,A1_24,0.041
,,00031.580480,A1_68,0.041
,,00031.580720,A1_35,0.108
,,00031.580800,A1_71,0.045
,,00031.580880,A1_62,0.041
,,00031.580880,A1_73,0.04
,,00031.580880,A1_83,0.04
,,00031.581120,A1_23,0.068
,,00031.581200,A1_21,0.059
,,00031.581200,A1_57,0.059
,,00031.581200,A1_84,0.035
,,00031.581280,A1_41,0.031
,,00031.581520,A1_28,0.024
,,00031.581760,A1_48,0.128
,,00031.581920,A1_63,0.032
,,00031.582000,A1_12,0.036
,,00031.582000,A1_44,0.048
,,00031.582000,A1_78,0.062
,,00031.582160,A1_26,0.043
,,00031.582240,A1_51,0.055
,,00031.582320,A1_88,0.051
,,00031.582400,A1_25,0.047
,,00031.582480,A1_54,0.069
,,00031.582560,A1_13,0.035
,,00031.582560,A1_56,0.056
,,00031.582560,A1_86,0.064
,,00031.582640,A1_42,0.029
,,00031.582720,A1_68,0.059
,,00031.582800,A1_14,0.031
,,00031.582800,A1_16,0.033
,,00031.583040,A1_22,0.034
,,00031.583040,A1_32,0.046
,,00031.583120,A1_36,0.029
,,00031.583120,A1_85,0.044
,,00031.583200,A1_71,0.054
,,00031.583360,A1_75,0.034
,,00031.583440,A1_21,0.043
,,00031.583440,A1_66,0.052
,,00031.583600,A1_62,0.027
,,00031.583680,A1_34,0.09
,,00031.583840,A1_37,0.025
,,00031.583840,A1_45,0.036
,,00031.583840,A1_72,0.056
,,00031.583920,A1_41,0.02
,,00031.583920,A1_53,0.102
,,00031.584160,A1_17,0.075
,,00031.584160,A1_65,0.033
,,00031.584320,A1_38,0.045
,,00031.584320,A1_46,0.044
,,00031.584320,A1_87,0.029
,,00031.584400,A1_15,0.034
,,00031.584480,A1_81,0.022
,,00031.584560,A1_18,0.042
,,00031.584560,A1_48,0.049
,,00031.584560,A1_88,0.021
,,00031.584640,A1_25,0.036
,,00031.584720,A1_51,0.051
,,00031.584800,A1_47,0.035
,,00031.584800,A1_76,0.056
,,00031.584880,A1_13,0.036
,,00031.584880,A1_54,0.081
,,00031.584880,A1_74,0.055
,,00031.584960,A1_12,0.05
,,00031.584960,A1_56,0.028
,,00031.584960,A1_63,0.029
,,00031.585120,A1_78,0.034
,,00031.585200,A1_14,0.035
,,00031.585360,A1_28,0.027
,,00031.585360,A1_31,0.04
,,00031.585440,A1_64,0.042
,,00031.585520,A1_24,0.056
,,00031.585520,A1_36,0.023
,,00031.585680,A1_66,0.05
,,00031.585840,A1_68,0.097
,,00031.585920,A1_75,0.04
,,00031.586000,A1_61,0.033
,,00031.586080,A1_83,0.038
,,00031.586160,A1_22,0.024
,,00031.586160,A1_26,0.028
,,00031.586240,A1_72,0.097
,,00031.586320,A1_34,0.029
,,00031.586400,A1_52,0.06
,,00031.586400,A1_82,0.091
,,00031.586400,A1_86,0.047
,,00031.586560,A1_38,0.04
,,00031.586560,A1_71,0.056
,,00031.586640,A1_73,0.03
,,00031.586720,A1_58,0.065
,,00031.586800,A1_16,0.027
,,00031.586800,A1_81,0.034
,,00031.586880,A1_11,0.053
,,00031.586880,A1_33,0.031
,,00031.586960,A1_17,0.04
,,00031.587120,A1_15,0.044
,,00031.587120,A1_44,0.039
,,00031.587120,A1_45,0.053
,,00031.587200,A1_25,0.037
,,00031.587200,A1_57,0.064
,,00031.587200,A1_88,0.04
,,00031.587360,A1_47,0.031
,,00031.587520,A1_18,0.044
,,00031.587760,A1_14,0.047
,,00031.587760,A1_31,0.035
,,00031.587840,A1_21,0.053
,,00031.587920,A1_62,0.044
,,00031.587920,A1_85,0.027
,,00031.588000,A1_27,0.024
,,00031.588000,A1_36,0.03
,,00031.588000,A1_66,0.057
,,00031.588160,A1_68,0.039
,,00031.588160,A1_75,0.046
,,00031.588240,A1_12,0.047
,,00031.588240,A1_64,0.035
,,00031.588240,A1_74,0.026
,,00031.588320,A1_84,0.049
,,00031.588400,A1_56,0.046
,,00031.588400,A1_61,0.036
,,00031.588480,A1_32,0.039
,,00031.588480,A1_72,0.069
,,00031.588480,A1_83,0.025
,,00031.588560,A1_34,0.049
,,00031.588800,A1_53,0.046
,,00031.588880,A1_78,0.046
,,00031.588880,A1_82,0.186
,,00031.589040,A1_52,0.041
,,00031.589040,A1_71,0.048
,,00031.589200,A1_38,0.066
,,00031.589280,A1_35,0.086
,,00031.589280,A1_48,0.054
,,00031.589360,A1_46,0.025
,,00031.589360,A1_55,0.059
,,00031.589360,A1_67,0.104
,,00031.589440,A1_86,0.041
,,00031.589520,A1_87,0.03
,,00031.589680,A1_23,0.059
,,00031.589680,A1_57,0.031
,,00031.589760,A1_44,0.04
,,00031.589760,A1_76,0.051
,,00031.589840,A1_73,0.04
,,00031.590000,A1_18,0.04
,,00031.590080,A1_14,0.04
,,00031.590080,A1_37,0.027
,,00031.590160,A1_28,0.023
,,00031.590160,A1_45,0.061
,,00031.590240,A1_17,0.038
,,00031.590320,A1_11,0.037
,,00031.590720,A1_15,0.034
,,00031.590720,A1_27,0.036
,,00031.590800,A1_13,0.025
,,00031.590800,A1_68,0.045
,,00031.590880,A1_21,0.038
,,00031.590880,A1_34,0.02
,,00031.591040,A1_16,0.042
,,00031.591040,A1_64,0.032
,,00031.591040,A1_72,0.038
,,00031.591200,A1_81,0.032
,,00031.591440,A1_74,0.029
,,00031.591440,A1_75,0.094
,,00031.591520,A1_32,0.062
,,00031.591600,A1_52,0.051
,,00031.591680,A1_85,0.028
,,00031.591760,A1_77,0.031
,,00031.591840,A1_51,0.081
,,00031.591840,A1_54,0.06
,,00031.591840,A1_67,0.028
,,00031.591920,A1_24,0.06
,,00031.591920,A1_46,0.053
,,00031.592000,A1_82,0.13
,,00031.592080,A1_71,0.05
,,00031.592080,A1_88,0.039
,,00031.592160,A1_23,0.027
,,00031.592160,A1_57,0.045
,,00031.592160,A1_62,0.036
,,00031.592240,A1_56,0.03
,,00031.592240,A1_86,0.034
,,00031.592400,A1_44,0.054
,,00031.592400,A1_58,0.051
,,00031.592480,A1_87,0.029
,,00031.592560,A1_45,0.041
,,00031.592560,A1_53,0.043
,,00031.592640,A1_33,0.034
,,00031.592720,A1_35,0.063
,,00031.592720,A1_38,0.046
,,00031.592800,A1_18,0.05
,,00031.592880,A1_17,0.038
,,00031.592880,A1_65,0.079
,,00031.592960,A1_14,0.025
,,00031.592960,A1_47,0.045
,,00031.593040,A1_22,0.063
,,00031.593040,A1_25,0.03
,,00031.593120,A1_13,0.031
,,00031.593120,A1_37,0.036
,,00031.593120,A1_73,0.034
,,00031.593200,A1_15,0.03
,,00031.593200,A1_48,0.135
,,00031.593200,A1_68,0.026
,,00031.593280,A1_28,0.029
,,00031.593280,A1_31,0.04
,,00031.593280,A1_64,0.028
,,00031.593360,A1_41,0.022
,,00031.593440,A1_61,0.035
,,00031.593440,A1_66,0.08
,,00031.593520,A1_27,0.037
,,00031.593600,A1_11,0.054
,,00031.593600,A1_12,0.031
,,00031.593680,A1_78,0.045
,,00031.593680,A1_83,0.022
,,00031.593760,A1_21,0.041
,,00031.593840,A1_63,0.023
,,00031.593840,A1_74,0.041
,,00031.593840,A1_75,0.035
,,00031.593920,A1_55,0.036
,,00031.594000,A1_76,0.038
,,00031.594080,A1_85,0.027
,,00031.594160,A1_24,0.033
,,00031.594160,A1_72,0.039
,,00031.594240,A1_51,0.051
,,00031.594320,A1_52,0.025
,,00031.594320,A1_67,0.082
,,00031.594320,A1_88,0.041
,,00031.594480,A1_86,0.035
,,00031.594560,A1_26,0.02
,,00031.594560,A1_82,0.044
,,00031.594640,A1_58,0.037
,,00031.594720,A1_54,0.042
,,00031.594800,A1_57,0.035
,,00031.594960,A1_34,0.034
,,00031.594960,A1_35,0.053
,,00031.595040,A1_53,0.038
,,00031.595280,A1_45,0.033
,,00031.595360,A1_23,0.031
,,00031.595360,A1_38,0.032
,,00031.595360,A1_44,0.03
,,00031.595440,A1_33,0.028
,,00031.595440,A1_65,0.099
,,00031.595520,A1_14,0.035
,,00031.595600,A1_36,0.02
,,00031.595680,A1_48,0.04
,,00031.595840,A1_46,0.04
,,00031.595920,A1_17,0.046
,,00031.595920,A1_18,0.062
,,00031.595920,A1_66,0.078
,,00031.596000,A1_73,0.018
,,00031.596080,A1_15,0.054
,,00031.596080,A1_47,0.032
,,00031.596160,A1_25,0.049
,,00031.596160,A1_28,0.032
,,00031.596240,A1_27,0.029
,,00031.596240,A1_71,0.031
,,00031.596320,A1_31,0.031
,,00031.596400,A1_11,0.066
,,00031.596400,A1_42,0.03
,,00031.596400,A1_72,0.04
,,00031.596640,A1_74,0.027
