Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
,,00268.347760,B5_12,7,0.14248
,,00269.230400,A5_13,11,0.42416
,,00269.906480,A2_44,6,0.22984
,,00269.787920,A5_13,5,0.25112
,,00269.631360,A5_24,8,0.27256
,,00269.828080,B5_12,5,0.14336
,,00269.693280,D6_33,5,0.24832
,,00270.379440,D3_41,5,0.16872
,,00270.455360,D3_42,15,0.4424
,,00270.645520,A3_34,9,0.2544
,,00270.873200,B3_22,7,0.06624
,,00271.400000,A2_44,6,0.0976
,,00271.490320,D3_42,17,0.51504
,,00272.785120,D3_42,5,0.10904
,,00272.777520,A2_44,5,0.22128
,,00273.299680,D3_42,5,0.17136
,,00274.374080,B5_12,5,0.12128
,,00274.395120,B5_23,5,0.08072
,,00274.295440,B5_22,6,0.27496
,,00274.957760,A2_44,5,0.23712
,,00275.844800,D3_42,8,0.43344
,,00276.144160,C3_24,10,0.14672
,,00276.324960,B2_32,6,0.31264
,,00277.153120,A2_44,6,0.114
,,00279.548640,C4_42,5,0.05448
,,00279.815920,A5_13,10,0.31984
,,00280.264720,A2_44,6,0.26136
,,00280.809840,B3_22,5,0.07552
,,00280.646960,B5_12,9,0.09016
,,00280.618880,B5_23,5,0.17504
,,00280.616800,B5_22,6,0.1264
,,00282.221920,D3_42,10,0.26088
,,00282.846960,D3_42,5,0.20368
,,00283.138000,B2_32,7,0.18464
,,00284.124880,D4_43,6,0.07136
,,00283.990640,D4_21,11,0.2632
,,00284.533360,D4_21,10,0.27952
,,00285.567200,A5_13,13,0.37264
,,00286.069120,B1_14,9,0.16408
,,00287.761120,C3_22,7,0.054
,,00287.734080,A3_34,10,0.24424
,,00289.287280,A2_44,7,0.21848
,,00291.853760,B3_22,8,0.05976
,,00293.083360,A5_13,11,0.3256
,,00293.545040,A5_13,5,0.30424
,,00295.116800,C3_12,8,0.16928
,,00295.216240,C3_22,8,0.13432
,,00295.205840,C3_14,19,0.10896
,,00295.148960,C3_24,22,0.20064
,,00295.150640,C3_43,15,0.12456
,,00295.522000,A3_34,9,0.2096
,,00296.333040,C3_43,6,0.27864
,,00296.759760,C3_43,8,0.14896
,,00296.724800,B5_12,9,0.2108
,,00296.838800,B5_22,5,0.13312
,,00297.222960,D3_42,9,0.16616
,,00297.019120,C3_12,7,0.21096
,,00296.433840,C3_24,42,0.76832
,,00297.077040,C3_43,17,0.26792
,,00297.002000,C3_22,30,0.75968
,,00298.150000,C3_43,10,0.16112
,,00298.608160,A3_34,10,0.21648
,,00298.986240,D1_42,6,0.14296
,,00299.147920,C3_24,11,0.09456
,,00299.004720,C3_43,13,0.2216
,,00300.085680,C3_43,9,0.08752
,,00300.094880,A3_32,7,0.22296
,,00300.087840,A3_43,5,0.23128
,,00300.122640,A5_13,5,0.19376
,,00299.682000,A3_34,49,0.9644
,,00300.503680,A2_44,7,0.2196
,,00300.815920,B3_22,12,0.11104
,,00300.880320,B3_32,7,0.07456
,,00301.507280,B5_23,9,0.10552
,,00301.514000,B5_12,13,0.15208
,,00301.516640,B5_22,9,0.14096
,,00301.694640,B2_32,8,0.26216
,,00301.309760,B6_23,13,0.61448
,,00302.063600,D3_42,18,0.91112
,,00303.369360,B5_12,6,0.10472
,,00303.315360,B5_22,5,0.18592
,,00304.828720,D1_42,5,0.13384
,,00304.696800,A5_13,12,0.26544
,,00304.960880,A5_24,6,0.21728
,,00306.654800,D1_42,5,0.08
,,00306.494720,B1_14,7,0.27944
,,00308.695120,D2_31,6,0.0344
,,00308.460320,B6_21,8,0.22264
,,00308.565600,D2_23,29,0.34536
,,00308.611200,D2_21,40,0.73856
,,00309.147680,B3_22,7,0.05464
,,00309.513200,D1_42,6,0.084
,,00308.690800,D2_34,29,0.99768
,,00309.214080,A5_13,13,0.44416
,,00309.548480,A5_24,8,0.2696
,,00310.170160,B5_12,12,0.1156
,,00310.161600,B5_23,6,0.13808
,,00310.155760,B5_22,8,0.18768
,,00310.580560,C3_43,5,0.01312
,,00310.596080,C3_24,7,0.0592
