Investigator,Alberto,Time (s),Electrode,Size (spikes),Duration (s)
,,00203.262240,B2_42,33,0.28512
,,00203.198720,A4_12,13,0.6388
,,00203.696000,A4_44,5,0.23104
,,00204.226720,B6_41,7,0.20672
,,00205.421360,A4_21,7,0.2328
,,00205.652160,D4_42,10,0.20168
,,00205.567200,D4_41,7,0.28416
,,00205.874000,D1_41,37,0.21576
,,00205.881920,D1_21,24,0.2164
,,00205.937360,D1_31,15,0.15488
,,00205.946880,D1_12,20,0.16504
,,00205.996400,D1_13,8,0.09184
,,00206.048800,D1_22,5,0.05024
,,00205.890320,D1_14,9,0.1992
,,00205.876480,D1_34,13,0.21488
,,00205.995120,D1_32,8,0.09544
,,00205.883280,D1_43,6,0.19376
,,00205.583680,D4_32,28,0.38824
,,00205.875280,D1_11,27,0.29712
,,00206.010240,D1_23,11,0.16168
,,00205.801760,A4_12,18,0.5388
,,00206.163680,C6_41,6,0.202
,,00206.590400,B3_41,12,0.18576
,,00206.586560,B3_12,5,0.15336
,,00206.693760,B3_22,7,0.16592
,,00206.718240,B3_34,5,0.05488
,,00206.601680,B3_32,25,0.17536
,,00206.627600,B3_44,6,0.11704
,,00206.996560,B4_23,10,0.20376
,,00207.014560,B4_44,10,0.16488
,,00207.047120,B4_21,6,0.21992
,,00206.963840,B4_41,9,0.35008
,,00206.999120,B4_22,7,0.16304
,,00207.917760,A4_11,5,0.14216
,,00207.927760,A4_32,6,0.21472
,,00208.357760,B2_31,5,0.18976
,,00208.381680,D1_12,8,0.34624
,,00208.259280,A4_12,9,0.48304
,,00208.965600,C1_31,14,0.12008
,,00208.777200,C1_11,45,0.36872
,,00208.921040,C1_12,41,0.20216
,,00208.990400,C1_33,9,0.08904
,,00209.006160,C1_32,17,0.13248
,,00209.014560,C1_43,11,0.11696
,,00209.003600,C1_44,22,0.10664
,,00208.854800,C1_41,38,0.31248
,,00208.892160,C1_13,19,0.30304
,,00208.912240,C1_22,33,0.26168
,,00209.007360,C1_23,18,0.17032
,,00208.958000,C1_24,36,0.20544
,,00208.839040,C1_34,38,0.3412
,,00208.937680,C1_42,22,0.25112
,,00209.372240,A1_31,6,0.106
,,00209.349680,A1_11,11,0.13808
,,00209.326320,A1_12,35,0.22512
,,00209.406400,A1_13,12,0.14096
,,00209.398000,A1_22,19,0.11592
,,00209.383520,A1_23,24,0.1584
,,00209.351360,A1_14,32,0.212
,,00209.388800,A1_33,35,0.20904
,,00209.331680,A1_24,35,0.26312
,,00209.378720,A1_34,7,0.09904
,,00209.298800,A1_32,20,0.26144
,,00209.382560,A1_43,20,0.18624
,,00209.377440,A1_44,5,0.0892
,,00209.376480,A1_42,33,0.20224
,,00209.250160,A1_41,62,0.40472
,,00209.235440,A1_21,72,0.49936
,,00210.217680,B2_13,5,0.12464
,,00210.129600,B2_14,5,0.15992
,,00210.181200,B2_12,30,0.31448
,,00210.969520,A2_41,49,0.2252
,,00210.966160,A2_21,21,0.2572
,,00211.066960,A2_31,10,0.11712
,,00211.008800,A2_11,11,0.24392
,,00211.037440,A2_12,34,0.17392
,,00211.012560,A2_13,33,0.206
,,00210.969200,A2_22,15,0.19896
,,00210.971040,A2_14,35,0.25752
,,00211.073280,A2_33,25,0.1352
,,00211.087040,A2_24,15,0.084
,,00210.995200,A2_34,14,0.19984
,,00210.958320,A2_32,32,0.2564
,,00211.058960,A2_43,24,0.15712
,,00210.965280,A2_44,37,0.238
,,00211.053920,A2_42,30,0.15696
,,00212.124880,A1_12,6,0.4064
,,00213.360960,D2_44,12,0.28832
,,00213.638480,A2_44,5,0.20752
,,00214.678080,D4_14,7,0.07592
,,00214.635360,D4_12,13,0.11736
,,00214.582240,D4_13,8,0.13464
,,00214.626240,D4_11,21,0.12936
,,00214.578720,D4_33,23,0.18888
,,00214.602640,D4_24,17,0.16648
,,00214.527440,D4_42,27,0.24312
,,00214.708080,D4_43,5,0.05672
,,00214.554560,D4_32,38,0.21968
,,00214.691920,D4_44,14,0.1392
,,00214.602000,D4_21,28,0.17456
,,00214.641920,D4_41,14,0.13776
,,00214.574320,D4_31,31,0.26448
,,00214.629600,D4_22,19,0.13152
,,00215.168720,A5_14,19,0.18216
,,00215.181280,A5_12,16,0.15048
,,00215.259200,A5_11,11,0.13296
,,00215.261600,A5_23,12,0.12272
,,00215.164160,A5_34,6,0.124
,,00215.253120,A5_42,5,0.0772
,,00215.141200,A5_43,38,0.16072
,,00215.289680,A5_32,11,0.05272
,,00215.221280,A5_44,5,0.12304
,,00215.215520,A5_21,9,0.1156
,,00215.150080,A5_41,18,0.1964
,,00215.189680,A5_31,8,0.1552
,,00215.218880,A5_13,25,0.23
,,00215.198880,A5_33,5,0.20392
,,00215.272000,A5_24,12,0.15704
,,00218.810080,D1_41,57,0.24384
,,00218.840560,D1_21,51,0.22544
,,00218.851520,D1_31,35,0.19136
,,00218.822240,D1_11,49,0.23336
,,00218.880240,D1_13,25,0.22152
,,00218.904560,D1_22,24,0.10728
,,00218.906880,D1_23,31,0.20904
,,00218.834240,D1_14,21,0.20016
,,00218.911280,D1_33,12,0.08256
,,00218.915440,D1_24,14,0.09968
,,00218.844800,D1_34,27,0.19488
,,00218.897040,D1_32,27,0.152
,,00218.866960,D1_43,25,0.17688
,,00218.899360,D1_44,23,0.14096
,,00218.920960,D1_42,6,0.02744
,,00218.875600,D1_12,45,0.32288
,,00219.635600,D4_42,6,0.16416
,,00219.924960,D4_12,6,0.1228
,,00219.861840,D4_11,12,0.2244
,,00219.943040,D4_42,12,0.15112
,,00219.546880,D4_32,40,0.54232
,,00219.903280,D4_21,19,0.20624
,,00219.993600,D4_41,7,0.08736
,,00219.923840,D4_31,16,0.2044
,,00219.911120,D6_43,13,0.16816
,,00220.136240,B6_14,11,0.15016
,,00220.102240,B6_12,17,0.18264
,,00220.160320,B6_13,20,0.1112
,,00220.088960,B6_11,11,0.18584
,,00220.083600,B6_33,20,0.20288
,,00220.084160,B6_23,24,0.24656
,,00220.126480,B6_34,11,0.15552
,,00220.039120,B6_24,17,0.26048
,,00220.031520,B6_42,38,0.27736
,,00220.076560,B6_43,38,0.24128
,,00220.148720,B6_32,18,0.202
,,00219.911680,B6_44,33,0.4036
,,00219.998560,B6_21,44,0.33016
,,00220.012400,B6_31,37,0.36848
,,00220.139040,B6_22,31,0.196
,,00220.022160,D6_22,5,0.15512
,,00220.221760,D1_12,6,0.28888
,,00220.001760,B6_41,69,0.49744
,,00220.624640,D1_12,6,0.31184
,,00221.484480,A3_41,34,0.23176
,,00221.479520,A3_11,59,0.2552
,,00221.518560,A3_12,34,0.17776
,,00221.530480,A3_13,51,0.24128
,,00221.500400,A3_22,26,0.21336
,,00221.482400,A3_23,57,0.25128
,,00221.560720,A3_14,11,0.16328
,,00221.568400,A3_33,8,0.09384
,,00221.472320,A3_24,31,0.24544
,,00221.495360,A3_34,52,0.26208
,,00221.555360,A3_44,25,0.1232
,,00221.433360,A3_43,59,0.42416
,,00221.489920,A3_42,48,0.22632
,,00221.572880,C6_14,11,0.08968
,,00221.560640,C6_12,26,0.19048
,,00221.564800,C6_13,23,0.13632
,,00221.552400,C6_11,33,0.22264
,,00221.505440,C6_33,37,0.22096
,,00221.561680,C6_23,24,0.18616
,,00221.569200,C6_34,24,0.16264
,,00221.473840,C6_24,15,0.3136
,,00221.457680,C6_42,55,0.29416
,,00221.510880,C6_43,36,0.21672
,,00221.541520,C6_32,49,0.26968
,,00221.488320,C6_44,41,0.24064
,,00221.488160,C6_21,50,0.30904
,,00221.345520,C6_41,63,0.48736
,,00221.459520,C6_22,26,0.364
,,00221.471200,A3_31,53,0.48504
,,00221.435040,C6_31,48,0.47488
,,00221.465200,A3_32,58,0.88216
,,00222.413360,A3_43,7,0.24864
,,00222.494960,B6_31,6,0.26896
,,00222.954080,A2_41,13,0.12424
,,00222.911200,A2_21,7,0.21304
,,00222.942880,A2_22,5,0.15976
,,00222.905200,A2_32,10,0.158
,,00222.926640,A2_44,12,0.14416
,,00222.984080,B4_41,6,0.15808
,,00222.989040,B4_31,5,0.15584
,,00222.571360,C6_41,9,0.48832
,,00222.994720,A2_11,6,0.1764
,,00222.969440,B4_11,10,0.24568
,,00222.972960,B4_23,12,0.1952
,,00223.034960,B4_44,8,0.116
,,00222.979600,B4_22,9,0.19328
,,00223.204080,D5_14,19,0.13256
,,00223.212960,D5_23,12,0.12864
,,00223.207520,D5_34,18,0.1052
,,00223.151280,D5_24,55,0.23136
,,00223.160320,D5_42,49,0.222
,,00223.187200,D5_32,14,0.21072
,,00223.211200,D5_41,5,0.05592
,,00223.191840,D5_12,15,0.22456
,,00223.153520,D5_13,36,0.2584
,,00223.150800,D5_33,58,0.31824
,,00223.164640,D5_43,46,0.2624
,,00223.166480,D5_44,42,0.3076
,,00223.193200,D5_22,40,0.27296
,,00223.425520,A3_32,5,0.24568
,,00223.570880,A3_43,7,0.28768
,,00223.537760,B4_42,9,0.49904
,,00223.780320,A5_14,19,0.32032
,,00223.937040,A5_12,9,0.14368
,,00223.915040,A5_13,14,0.20168
,,00223.792160,A5_34,7,0.23824
,,00223.739440,A5_43,52,0.3116
,,00223.922960,A5_41,9,0.18528
,,00223.951440,A5_31,6,0.14704
,,00223.840880,A3_32,8,0.31184
,,00224.100720,D5_42,6,0.15008
,,00223.901200,C6_42,8,0.30304
,,00223.721200,C6_41,17,0.63216
,,00224.284880,A3_31,11,0.24208
,,00224.216080,A3_43,7,0.26936
,,00224.174080,C6_31,7,0.25584
,,00224.294640,A3_44,8,0.45768
,,00224.610720,D5_42,8,0.19032
,,00224.572720,D5_43,7,0.24832
,,00225.201360,C4_14,10,0.08336
,,00225.060080,C4_12,39,0.26816
,,00225.020960,C4_13,13,0.20728
,,00225.115840,C4_33,31,0.19504
,,00225.099040,C4_23,35,0.27696
,,00225.133520,C4_34,27,0.19784
,,00224.999760,C4_24,35,0.3324
,,00225.121280,C4_42,20,0.2368
,,00225.049920,C4_32,25,0.2832
,,00225.055040,C4_21,48,0.31592
,,00225.155840,C4_31,27,0.21256
,,00224.905200,C4_22,42,0.42616
,,00224.874480,C4_11,80,0.64304
,,00225.076240,C4_44,35,0.36672
,,00225.027360,C4_41,54,0.43216
,,00225.312000,D5_42,6,0.23936
,,00226.081280,A3_43,5,0.0572
,,00225.943760,C6_41,10,0.32336
,,00226.027680,A3_11,13,0.38784
,,00226.155120,A3_32,9,0.28976
,,00226.499840,A4_12,6,0.06456
,,00226.425680,A4_11,16,0.20824
,,00226.452320,A4_33,10,0.1076
,,00226.427440,A4_23,17,0.15432
,,00226.495280,A4_34,5,0.07064
,,00226.363040,A4_43,36,0.22896
,,00226.429360,A4_32,8,0.13136
,,00226.466480,A4_44,17,0.13736
,,00226.386240,A4_21,16,0.2196
,,00226.452240,A4_41,12,0.13176
,,00226.387760,A4_31,12,0.19392
,,00226.395040,A4_42,24,0.2596
,,00226.619520,C4_42,6,0.22872
,,00227.077360,D3_41,21,0.18656
,,00227.126640,D3_21,5,0.0952
,,00227.098880,D3_11,6,0.14384
,,00227.178240,D3_12,6,0.07968
,,00227.158800,D3_42,8,0.12352
,,00227.477920,D4_41,5,0.15888
,,00227.477520,D4_42,8,0.18544
,,00227.441280,D4_32,19,0.30256
,,00227.543920,D4_21,8,0.15352
,,00227.569040,D4_31,6,0.12392
,,00228.512320,B3_41,36,0.2348
,,00228.532960,B3_21,7,0.14024
,,00228.587360,B3_31,9,0.09448
,,00228.500240,B3_12,36,0.25344
,,00228.560480,B3_22,11,0.18632
,,00228.603120,B3_23,31,0.15872
,,00228.594400,B3_14,7,0.08824
,,00228.539840,B3_33,9,0.18496
,,00228.590320,B3_34,28,0.16904
,,00228.479360,B3_32,42,0.23608
,,00228.628240,B3_43,5,0.02568
,,00228.491280,B3_44,11,0.20456
,,00228.615840,B3_42,14,0.12624
,,00229.044080,B1_41,37,0.26768
,,00229.173200,B1_31,20,0.16008
,,00229.083280,B1_12,14,0.22544
,,00229.148720,B1_13,18,0.14288
,,00229.052320,B1_22,28,0.25848
,,00229.138240,B1_14,11,0.12352
,,00229.162320,B1_33,11,0.11312
,,00229.148480,B1_24,21,0.18336
,,00229.073280,B1_34,26,0.29712
,,00229.137600,B1_32,35,0.22896
,,00229.044800,B1_43,44,0.34024
,,00229.084080,B1_42,23,0.23032
,,00229.107360,A3_32,6,0.04432
,,00229.045440,B1_21,39,0.4232
,,00229.132320,B1_23,26,0.2716
,,00228.983280,B1_44,66,0.42112
,,00229.455120,A3_32,11,0.14192
,,00229.457440,A3_43,7,0.10768
,,00229.982400,A3_32,6,0.07288
,,00230.375360,A3_32,17,0.3664
,,00231.475680,A6_44,5,0.16384
,,00231.517280,A6_13,5,0.14704
,,00231.515920,A6_23,8,0.26688
,,00231.672400,A6_41,11,0.20424
,,00231.642080,C6_41,7,0.1036
,,00231.528720,C6_22,11,0.28672
,,00231.487600,A6_12,22,0.46008
,,00231.712720,A6_24,31,0.28368
,,00231.620960,A6_42,21,0.28888
,,00231.662960,A6_43,15,0.23712
,,00232.738400,A5_14,5,0.2412
,,00232.935360,A6_12,15,0.12792
,,00232.957520,A6_13,6,0.1076
,,00232.741760,A6_24,21,0.28256
,,00232.865040,A6_42,7,0.18976
,,00232.819840,A6_43,18,0.26424
,,00232.988560,A6_41,7,0.16008
,,00232.868720,A6_22,5,0.12512
,,00233.034960,A1_41,13,0.19
,,00233.005440,A1_21,22,0.22336
,,00233.028480,A1_12,14,0.1876
,,00233.124160,A1_33,6,0.08448
,,00233.048240,A1_24,5,0.14608
,,00233.064800,A1_42,8,0.14632
,,00235.585760,D4_12,8,0.16576
,,00235.455200,D4_11,17,0.28856
,,00235.695920,D4_33,10,0.06464
,,00235.565440,D4_24,7,0.16248
,,00235.533840,D4_42,18,0.21632
,,00235.528560,D4_32,41,0.2496
,,00235.567440,D4_21,18,0.16824
,,00235.557360,D4_41,13,0.17816
,,00235.523920,D4_31,21,0.21576
,,00235.536800,D4_22,7,0.19864
,,00236.163840,A4_14,6,0.05424
,,00236.158560,A4_12,9,0.08352
,,00236.100960,A4_11,21,0.138
,,00236.118000,A4_33,12,0.13952
,,00236.069200,A4_23,20,0.20112
,,00236.177040,A4_34,7,0.092
,,00236.009440,A4_42,21,0.27736
,,00236.015280,A4_43,35,0.22128
,,00236.082800,A4_32,10,0.17344
,,00236.108800,A4_44,18,0.14664
,,00236.046320,A4_21,12,0.18088
,,00236.056800,A4_41,20,0.21872
,,00236.044960,A4_31,15,0.1572
,,00236.140560,C4_12,20,0.16632
,,00236.216240,C4_13,13,0.16976
,,00236.133680,C4_11,40,0.25672
,,00236.173920,C4_33,14,0.2084
,,00236.227200,C4_23,15,0.12904
,,00236.232640,C4_34,12,0.08504
,,00236.156480,C4_44,24,0.22272
,,00236.153200,C4_21,28,0.23008
,,00236.205920,C4_24,24,0.22296
,,00236.235840,C4_32,12,0.2272
,,00236.157280,C4_41,21,0.272
,,00236.284720,C4_31,11,0.12344
,,00236.144880,C4_22,19,0.27288
,,00237.586240,A1_41,9,0.13912
,,00237.624800,A1_21,11,0.20664
,,00237.694560,A1_12,5,0.09704
,,00237.622880,A1_24,5,0.11264
,,00237.972080,B1_43,5,0.09216
,,00237.977680,B1_44,6,0.1204
,,00237.786960,C6_41,5,0.17336
,,00238.557600,D1_12,5,0.17328
,,00239.460560,D4_11,11,0.18736
,,00239.360240,D4_42,13,0.19864
,,00239.256480,D4_32,34,0.32416
,,00239.462800,D4_21,23,0.15304
,,00239.473520,D4_41,9,0.08216
,,00239.390720,D4_31,20,0.17952
,,00239.496240,D4_22,5,0.04944
,,00241.545040,B6_14,10,0.06384
,,00241.508960,B6_12,15,0.08504
,,00241.533200,B6_11,7,0.05848
,,00241.402560,B6_24,21,0.21744
,,00241.484400,B6_32,25,0.1332
,,00241.503200,B6_13,20,0.17176
,,00241.516160,B6_33,20,0.13848
,,00241.495920,B6_23,29,0.16216
,,00241.527280,B6_34,22,0.17728
,,00241.478560,B6_42,43,0.248
,,00241.455280,B6_43,37,0.24056
,,00241.363600,B6_44,40,0.35048
,,00241.380240,B6_21,44,0.28168
,,00241.346320,B6_41,64,0.5524
,,00241.379680,B6_31,38,0.40424
,,00241.525440,B6_22,17,0.13808
,,00243.002160,C6_14,5,0.06752
,,00242.992560,C6_13,18,0.11528
,,00242.922400,C6_24,17,0.20928
,,00242.898720,C6_21,53,0.25064
,,00242.967520,C6_22,26,0.15016
,,00242.968400,C6_12,21,0.18424
,,00242.959920,C6_11,32,0.20736
,,00242.960560,C6_33,36,0.25024
,,00242.959040,C6_23,23,0.19128
,,00242.939360,C6_34,29,0.21904
,,00242.924000,C6_42,50,0.23072
,,00242.943520,C6_43,27,0.20984
,,00242.918880,C6_32,52,0.27592
,,00242.915440,C6_44,35,0.24904
,,00242.890800,C6_41,60,0.35648
,,00242.935840,C6_31,38,0.25728
,,00243.320000,B6_31,6,0.14792
,,00244.135040,C6_41,6,0.23856
,,00244.502880,A3_41,6,0.11312
,,00244.448720,A3_13,5,0.18184
,,00244.585360,A3_23,6,0.05304
,,00244.453920,A3_11,22,0.21824
,,00244.464080,A3_34,8,0.20776
,,00244.495040,A3_32,5,0.22064
,,00244.485040,A3_44,6,0.1932
,,00244.440800,A3_43,15,0.23248
,,00244.456800,A4_11,20,0.22016
,,00244.483360,A4_33,8,0.20936
,,00244.560560,A4_23,13,0.13776
,,00244.598640,A4_42,16,0.12208
,,00244.541440,A4_43,31,0.21928
,,00244.511680,A4_32,9,0.18872
,,00244.580800,A4_44,10,0.1084
,,00244.488560,A4_21,11,0.23464
,,00244.561600,A4_41,11,0.12176
,,00244.439760,A4_31,13,0.29088
,,00245.292320,D2_41,20,0.23768
,,00245.407040,D2_21,5,0.04408
,,00245.383680,D2_31,24,0.17656
,,00245.390880,D2_11,22,0.14872
,,00245.360640,D2_12,20,0.17376
,,00245.402960,D2_22,34,0.2092
,,00245.368640,D2_23,35,0.21048
,,00245.415520,D2_14,11,0.08248
,,00245.425120,D2_33,11,0.09128
,,00245.351440,D2_24,27,0.14888
,,00245.385440,D2_34,14,0.16728
,,00245.331600,D2_44,54,0.216
,,00245.365200,D2_42,39,0.16048
,,00245.352240,D2_43,51,0.31912
,,00245.836000,C6_41,7,0.16384
,,00246.177280,B1_43,5,0.1708
,,00246.141200,B1_44,12,0.19376
,,00246.189520,B1_22,7,0.2248
,,00247.097600,B6_41,5,0.1264
,,00248.265840,D1_42,5,0.12392
,,00248.253840,D1_41,46,0.19688
,,00248.240160,D1_21,44,0.23856
,,00248.299680,D1_31,31,0.14328
,,00248.243040,D1_11,44,0.20952
,,00248.239840,D1_12,38,0.30896
,,00248.294080,D1_13,23,0.16872
,,00248.292480,D1_22,19,0.17312
,,00248.277360,D1_23,32,0.23976
,,00248.267520,D1_14,23,0.17744
,,00248.330640,D1_33,21,0.14392
,,00248.316960,D1_24,12,0.08448
,,00248.273600,D1_34,33,0.21744
,,00248.307360,D1_32,28,0.14424
,,00248.277840,D1_43,31,0.21792
,,00248.317440,D1_44,21,0.12992
,,00248.305120,D2_44,12,0.30256
,,00248.882160,D4_42,10,0.18912
,,00248.815680,D4_41,8,0.18976
,,00248.887600,D4_31,6,0.12352
,,00249.109360,D2_12,6,0.18512
,,00249.019040,D2_44,16,0.2952
,,00248.827840,D4_32,31,0.46512
,,00249.768800,C4_13,10,0.09872
,,00249.707200,C4_14,8,0.19632
,,00249.697600,C4_12,43,0.28232
,,00249.690000,C4_11,56,0.30096
,,00249.750080,C4_33,32,0.24656
,,00249.733440,C4_23,39,0.2252
,,00249.752160,C4_34,30,0.22776
,,00249.765920,C4_24,34,0.3116
,,00249.765920,C4_42,18,0.15232
,,00249.788320,C4_32,21,0.14712
,,00249.712800,C4_44,34,0.29344
,,00249.703920,C4_21,52,0.23312
,,00249.713040,C4_41,44,0.2596
,,00249.744320,C4_31,31,0.21432
,,00249.700800,C4_22,42,0.30016
,,00250.195760,A5_12,41,0.18208
,,00250.142560,A5_34,17,0.17544
,,00250.203120,A5_24,22,0.10984
,,00250.179280,A5_44,25,0.1708
,,00250.202640,A5_21,12,0.0968
,,00250.186160,A5_31,21,0.19304
,,00250.228400,A5_22,31,0.15384
,,00250.131680,A5_14,59,0.37048
,,00250.172400,A5_13,63,0.28728
,,00250.204240,A5_11,44,0.23016
,,00250.168800,A5_33,18,0.3
,,00250.204080,A5_23,44,0.22152
,,00250.215840,A5_42,44,0.20952
,,00250.157040,A5_43,51,0.25552
,,00250.178080,A5_32,47,0.2536
,,00250.177920,A5_41,53,0.2632
,,00250.365600,D1_12,16,0.3152
,,00250.806000,D1_12,11,0.35968
,,00251.213440,C4_11,7,0.3432
,,00251.834880,A5_24,5,0.26904
,,00252.024240,C6_41,9,0.31352
,,00252.420800,D1_12,6,0.27224
,,00252.580080,C4_11,11,0.26792
,,00254.026640,D2_24,5,0.11544
,,00253.946800,A4_12,7,0.06616
,,00253.853920,A4_11,15,0.1864
,,00253.935440,A4_33,8,0.08848
,,00253.873600,A4_23,21,0.16856
,,00253.961120,A4_34,5,0.05376
,,00253.864080,A4_42,19,0.15048
,,00253.844640,A4_43,27,0.21928
,,00253.910560,A4_32,8,0.08112
,,00253.948080,A4_44,14,0.09016
,,00253.878000,A4_21,10,0.15768
,,00253.868160,A4_41,21,0.17856
,,00253.851840,A4_31,10,0.1268
,,00254.009520,D2_34,6,0.16656
,,00254.669360,A5_12,5,0.20576
,,00255.334240,C4_11,16,0.62104
,,00255.756400,A5_12,6,0.15888
,,00257.317520,A5_43,18,0.09856
,,00257.491040,D6_12,5,0.08816
,,00257.442480,D6_22,9,0.1792
,,00257.697440,D6_12,10,0.17208
,,00257.432560,D6_43,21,0.40904
,,00257.651440,D6_21,7,0.26952
,,00258.052080,D4_32,6,0.11176
,,00259.166960,D4_14,16,0.14936
,,00259.159840,D4_12,32,0.21016
,,00259.167200,D4_13,17,0.19512
,,00259.077200,D4_11,49,0.29928
,,00259.167680,D4_23,27,0.19816
,,00259.208240,D4_34,31,0.16072
,,00259.145200,D4_24,40,0.24256
,,00259.210880,D4_43,13,0.1456
,,00259.075360,D4_21,56,0.29336
,,00259.092080,A5_43,12,0.1448
,,00259.158400,D4_33,46,0.2564
,,00259.116960,D4_42,53,0.29512
,,00259.074240,D4_32,73,0.48392
,,00259.190000,D4_44,34,0.25448
,,00259.118960,D4_41,52,0.40384
,,00259.150720,D4_31,66,0.37384
,,00259.153200,D4_22,50,0.26176
,,00259.448240,C5_14,31,0.29888
,,00259.548400,C5_12,15,0.18704
,,00259.530560,C5_11,28,0.32896
,,00259.503360,C5_33,28,0.2128
,,00259.526640,C5_23,45,0.24744
,,00259.342560,C5_34,62,0.506
,,00259.504400,C5_24,33,0.36456
,,00259.507440,C5_42,72,0.28312
,,00259.544480,C5_43,16,0.14288
,,00259.548240,C5_32,17,0.1812
,,00259.502720,C5_44,45,0.26152
,,00259.510960,C5_41,57,0.27568
,,00259.571120,C5_31,10,0.21568
,,00260.356640,C5_34,6,0.18632
,,00260.323600,D4_11,7,0.45296
,,00260.987760,B4_12,6,0.13504
,,00261.043360,B4_34,7,0.08288
,,00260.994400,B4_42,16,0.15128
,,00260.783520,D4_14,5,0.21056
,,00260.868800,C5_24,5,0.18536
,,00261.007600,B4_14,23,0.2
,,00261.006880,B4_13,14,0.14456
,,00260.822880,B4_11,44,0.5112
,,00261.010320,B4_33,17,0.20544
,,00260.900080,B4_23,32,0.30872
,,00260.955040,B4_24,31,0.29792
,,00261.015520,B4_43,19,0.20912
,,00261.022160,B4_32,39,0.226
,,00260.973520,B4_44,47,0.2824
,,00260.944880,B4_21,17,0.24872
,,00260.962320,B4_41,51,0.23304
,,00260.947360,B4_31,18,0.23792
,,00260.903040,B4_22,68,0.42744
,,00260.967760,C5_42,9,0.34344
,,00261.283360,C5_24,9,0.35776
,,00261.504400,D1_12,12,0.26328
,,00261.618720,D1_14,5,0.12328
,,00261.081040,D4_32,14,0.60696
,,00261.725360,D4_21,7,0.31712
,,00262.143440,B1_21,9,0.19672
,,00262.069520,B1_22,6,0.21248
,,00262.053920,B1_44,12,0.19088
,,00261.869920,D4_11,5,0.30664
,,00262.474000,D4_32,5,0.12368
,,00262.394480,C2_41,57,0.4892
,,00262.595040,C2_21,49,0.23136
,,00262.561840,C2_31,38,0.2596
,,00262.604720,C2_11,19,0.27064
,,00262.636160,C2_12,7,0.1204
,,00262.637760,C2_22,19,0.098
,,00262.625520,C2_23,18,0.20832
,,00262.490560,C2_14,55,0.3784
,,00262.630320,C2_33,25,0.16064
,,00262.630880,C2_24,6,0.086
,,00262.511520,C2_34,31,0.31024
,,00262.624320,C2_32,14,0.13448
,,00262.609120,C2_43,28,0.21688
,,00262.626000,C2_44,32,0.17824
,,00262.610160,C2_42,36,0.19928
,,00262.538480,D4_12,5,0.19768
,,00262.191600,D4_21,11,0.48944
,,00263.049920,C3_42,5,0.01624
,,00262.761120,D4_13,5,0.294
,,00263.168160,C4_12,35,0.25656
,,00263.247680,C4_13,13,0.15536
,,00263.185120,C4_11,57,0.29808
,,00263.203440,C4_33,31,0.22392
,,00263.235360,C4_23,26,0.18768
,,00263.226640,C4_34,25,0.2084
,,00263.228880,C4_24,33,0.18664
,,00263.244800,C4_42,11,0.19656
,,00263.238960,C4_32,22,0.1796
,,00263.209840,C4_44,31,0.25328
,,00263.164400,C4_21,40,0.26784
,,00263.169440,C4_41,43,0.25008
,,00263.250960,C4_31,15,0.21144
,,00263.194880,C4_22,31,0.28016
,,00262.044160,B4_11,45,1.66848
,,00263.869840,C1_11,15,0.1856
,,00263.982320,C6_11,11,0.11808
,,00263.967760,C6_33,11,0.1716
,,00263.796880,C6_42,18,0.28256
,,00263.971280,C6_43,5,0.0472
,,00263.995360,C6_32,11,0.14672
,,00264.000880,C6_44,5,0.07392
,,00263.901760,C6_21,13,0.24184
,,00263.857840,C6_41,24,0.21936
,,00263.889120,C6_22,12,0.21224
,,00263.858400,D4_11,6,0.3192
,,00264.378160,B4_11,9,0.4836
,,00264.568640,A5_14,9,0.21352
,,00264.513680,A5_43,51,0.27848
,,00264.803120,D4_11,9,0.31648
,,00265.076720,C2_11,5,0.25464
,,00265.257200,C2_14,8,0.33376
,,00265.194560,D4_32,22,0.45488
,,00265.365520,D4_31,5,0.16376
,,00265.352720,C2_12,11,0.50136
,,00265.413680,C4_22,5,0.25288
,,00265.802240,B4_41,5,0.28296
,,00266.099520,C4_11,21,0.37464
,,00266.468400,C4_44,5,0.1176
,,00266.092080,C4_22,9,0.478
,,00266.935440,C6_41,5,0.16064
,,00267.192320,A1_41,14,0.17048
,,00267.188800,A1_21,15,0.17808
,,00267.241440,A1_12,5,0.1112
,,00267.213200,A1_24,7,0.11104
,,00267.208400,A1_32,7,0.16688
,,00267.198640,D2_11,6,0.11144
,,00267.280720,D2_23,5,0.11016
,,00267.279760,D2_34,5,0.03976
,,00267.251840,D2_43,7,0.11536
,,00267.263040,D2_44,8,0.07928
,,00267.247120,D2_42,9,0.092
,,00267.980560,D3_13,15,0.15864
,,00268.021280,D3_14,8,0.05528
,,00268.024080,D3_33,8,0.05056
,,00268.034560,D3_24,5,0.03736
,,00267.908240,D3_43,18,0.23112
,,00268.004320,D3_44,17,0.11208
,,00267.966720,D3_41,44,0.2236
,,00267.977280,D3_21,25,0.19544
,,00267.950400,D3_31,31,0.22352
,,00267.966240,D3_11,24,0.21304
,,00267.948720,D3_12,41,0.23952
,,00267.922240,D3_23,14,0.25664
,,00267.894640,D3_34,31,0.28352
,,00267.993840,D3_32,29,0.166
,,00267.968560,D3_42,27,0.26168
,,00269.676480,B3_41,37,0.19568
,,00269.732240,B3_21,7,0.07648
,,00269.644080,B3_31,15,0.19776
,,00269.719200,B3_11,6,0.07984
